gauge,month,year,day,pr
1943003,1,1980,1,1.97
1943003,1,1980,2,38.27
1943003,1,1980,3,10.83
1943003,1,1980,4,0.0
1943003,1,1980,5,0.0
1943003,1,1980,6,0.0
1943003,1,1980,7,0.0
1943003,1,1980,8,0.0
1943003,1,1980,9,0.0
1943003,1,1980,10,0.0
1943003,1,1980,11,0.15
1943003,1,1980,12,20.55
1943003,1,1980,13,24.39
1943003,1,1980,14,0.0
1943003,1,1980,15,6.56
1943003,1,1980,16,31.22
1943003,1,1980,17,21.61
1943003,1,1980,18,3.79
1943003,1,1980,19,34.21
1943003,1,1980,20,0.0
1943003,1,1980,21,12.86
1943003,1,1980,22,59.08
1943003,1,1980,23,35.71
1943003,1,1980,24,16.38
1943003,1,1980,25,1.87
1943003,1,1980,26,17.13
1943003,1,1980,27,17.34
1943003,1,1980,28,58.87
1943003,1,1980,29,3.79
1943003,1,1980,30,17.56
1943003,1,1980,31,0.0
1943003,2,1980,1,0.0
1943003,2,1980,2,4.75
1943003,2,1980,3,7.76
1943003,2,1980,4,4.64
1943003,2,1980,5,0.0
1943003,2,1980,6,0.0
1943003,2,1980,7,0.0
1943003,2,1980,8,0.0
1943003,2,1980,9,0.0
1943003,2,1980,10,1.73
1943003,2,1980,11,0.0
1943003,2,1980,12,0.0
1943003,2,1980,13,0.0
1943003,2,1980,14,41.39
1943003,2,1980,15,0.0
1943003,2,1980,16,13.35
1943003,2,1980,17,28.2
1943003,2,1980,18,17.48
1943003,2,1980,19,18.82
1943003,2,1980,20,0.0
1943003,2,1980,21,0.0
1943003,2,1980,22,23.51
1943003,2,1980,23,0.0
1943003,2,1980,24,0.0
1943003,2,1980,25,0.0
1943003,2,1980,26,0.0
1943003,2,1980,27,0.0
1943003,2,1980,28,0.0
1943003,2,1980,29,0.0
1943003,3,1980,1,4.46
1943003,3,1980,2,0.0
1943003,3,1980,3,0.0
1943003,3,1980,4,0.0
1943003,3,1980,5,0.0
1943003,3,1980,6,0.0
1943003,3,1980,7,0.0
1943003,3,1980,8,0.0
1943003,3,1980,9,0.0
1943003,3,1980,10,0.0
1943003,3,1980,11,0.0
1943003,3,1980,12,0.0
1943003,3,1980,13,0.0
1943003,3,1980,14,0.0
1943003,3,1980,15,0.0
1943003,3,1980,16,12.67
1943003,3,1980,17,0.0
1943003,3,1980,18,0.0
1943003,3,1980,19,0.0
1943003,3,1980,20,0.0
1943003,3,1980,21,0.0
1943003,3,1980,22,0.0
1943003,3,1980,23,0.0
1943003,3,1980,24,0.0
1943003,3,1980,25,0.0
1943003,3,1980,26,0.0
1943003,3,1980,27,0.0
1943003,3,1980,28,0.0
1943003,3,1980,29,0.0
1943003,3,1980,30,0.0
1943003,3,1980,31,0.0
1943003,4,1980,1,2.58
1943003,4,1980,2,0.0
1943003,4,1980,3,14.8
1943003,4,1980,4,5.39
1943003,4,1980,5,0.0
1943003,4,1980,6,0.0
1943003,4,1980,7,15.21
1943003,4,1980,8,39.55
1943003,4,1980,9,0.0
1943003,4,1980,10,19.01
1943003,4,1980,11,0.0
1943003,4,1980,12,0.0
1943003,4,1980,13,8.59
1943003,4,1980,14,60.29
1943003,4,1980,15,15.0
1943003,4,1980,16,14.0
1943003,4,1980,17,0.0
1943003,4,1980,18,3.38
1943003,4,1980,19,0.0
1943003,4,1980,20,0.0
1943003,4,1980,21,5.79
1943003,4,1980,22,0.0
1943003,4,1980,23,0.0
1943003,4,1980,24,0.0
1943003,4,1980,25,0.1
1943003,4,1980,26,0.0
1943003,4,1980,27,0.0
1943003,4,1980,28,0.0
1943003,4,1980,29,0.0
1943003,4,1980,30,0.0
1943003,5,1980,1,0.0
1943003,5,1980,2,0.0
1943003,5,1980,3,2.47
1943003,5,1980,4,0.05
1943003,5,1980,5,0.0
1943003,5,1980,6,0.0
1943003,5,1980,7,0.0
1943003,5,1980,8,0.0
1943003,5,1980,9,0.0
1943003,5,1980,10,0.0
1943003,5,1980,11,0.0
1943003,5,1980,12,0.0
1943003,5,1980,13,0.0
1943003,5,1980,14,4.13
1943003,5,1980,15,0.0
1943003,5,1980,16,0.0
1943003,5,1980,17,0.0
1943003,5,1980,18,0.0
1943003,5,1980,19,0.0
1943003,5,1980,20,0.0
1943003,5,1980,21,0.0
1943003,5,1980,22,0.0
1943003,5,1980,23,0.0
1943003,5,1980,24,0.0
1943003,5,1980,25,0.0
1943003,5,1980,26,0.0
1943003,5,1980,27,0.0
1943003,5,1980,28,0.0
1943003,5,1980,29,0.0
1943003,5,1980,30,0.0
1943003,5,1980,31,0.0
1943003,6,1980,1,0.0
1943003,6,1980,2,0.25
1943003,6,1980,3,0.0
1943003,6,1980,4,4.48
1943003,6,1980,5,0.0
