gauge,month,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,month,year
1943003,11,1981,0.14,13.42,5.6,2.44,25.52,0.0,12.3,0.0,0.0,17.79,49.07,14.63,31.57,38.83,30.36,0.89,0.52,0.05,0.0,0.0,30.45,0.7,13.23,0.0,3.83,4.86,100.16,0.0,0.0,19.75,,11,1981
1943003,12,1981,2.66,0.1,26.4,0.0,0.0,0.0,0.0,0.0,10.41,2.46,0.29,0.0,48.15,3.85,0.0,0.0,9.02,14.88,0.0,0.0,0.0,0.0,0.0,0.0,3.46,2.56,10.91,40.9,41.89,0.0,6.73,12,1981
1943003,1,1982,3.73,2.13,0.0,7.36,126.59,4.37,5.01,0.0,0.0,0.0,0.0,17.6,19.1,0.0,0.36,15.04,0.0,0.0,0.79,10.13,40.98,0.15,19.1,76.21,5.76,0.0,0.0,0.0,0.0,0.0,0.0,1,1982
1943003,2,1982,0.0,12.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.21,0.29,12.13,0.0,,,,2,1982
1943003,3,1982,0.0,20.25,19.03,109.26,0.82,6.16,0.0,15.59,5.25,0.0,0.62,0.0,22.08,2.61,5.96,0.01,0.0,4.94,21.77,0.0,74.49,0.0,23.7,35.86,14.57,0.52,10.62,0.0,20.76,0.0,0.0,3,1982
1943003,4,1982,0.0,0.0,0.0,0.0,2.84,14.26,6.45,0.0,7.85,0.0,0.0,0.0,0.0,0.8,11.86,3.84,4.34,2.14,9.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,,4,1982
1943003,5,1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,9.57,0.0,15.95,0.0,0.0,0.0,4.86,0.14,0.0,0.0,0.0,0.0,5,1982
1943003,6,1982,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6,1982
1943003,7,1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1982
1943003,8,1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.82,3.11,6.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1982
1943003,9,1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,,9,1982
1943003,10,1982,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,9.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1982
1943003,11,1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.91,9.49,0.0,0.0,0.0,59.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54,0.0,0.0,0.0,,11,1982
1943003,12,1982,0.0,0.39,30.5,44.01,13.12,0.0,0.0,0.59,15.5,6.46,0.0,0.0,0.0,0.0,0.0,0.0,15.3,0.0,0.0,25.04,23.15,24.34,0.0,15.6,7.85,2.09,0.0,12.22,8.45,4.08,7.56,12,1982
1943003,1,1983,23.0,0.57,6.24,26.1,3.57,33.78,15.1,0.25,18.73,0.0,0.0,0.0,5.39,33.04,54.49,2.08,9.55,21.19,3.68,4.96,8.59,37.31,6.14,4.22,0.0,6.78,4.86,2.08,5.5,0.0,0.0,1,1983
1943003,2,1983,0.0,5.3,10.1,2.28,0.0,0.0,0.0,11.22,7.76,11.22,11.22,63.94,14.12,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.64,0.0,0.0,0.0,0.0,4.18,3.4,,,,2,1983
1943003,3,1983,38.73,7.51,16.02,4.97,4.06,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,4.16,0.0,3.25,0.0,0.0,0.0,22.51,21.6,0.01,5.99,3.35,0.0,3.45,0.21,0.0,0.0,0.0,0.41,3,1983
1943003,4,1983,0.0,0.0,3.18,0.0,0.0,0.0,10.19,58.49,0.0,0.0,0.0,0.6,18.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28,0.0,0.0,1.87,5.18,0.0,0.0,0.0,,4,1983
1943003,5,1983,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.71,4.62,0.0,0.0,9.51,0.0,5,1983
1943003,6,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6,1983
1943003,7,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1983
