,1980_2000,2030_2050,2040_2060
Jan,23.43991428571429,24.99902857142857,25.38327142857143
Feb,23.530538095238093,24.98103809523809,25.336119047619054
Mar,22.89530476190476,24.285047619047617,24.730471428571427
Apr,21.41577619047619,22.92809523809524,23.399580952380955
May,19.31029523809524,20.889209523809523,21.419952380952378
Jun,17.573209523809524,19.22844761904762,19.708819047619045
Jul,17.345909523809524,18.871647619047614,19.34408095238095
Aug,18.7417,20.372238095238092,20.781461904761905
Sep,21.290238095238095,23.071004761904764,23.58615714285714
Oct,23.160185714285717,25.15706666666667,25.76799047619048
Nov,23.39472380952381,25.445395238095237,26.082419047619045
Dec,23.3301619047619,24.974761904761905,25.539885714285717
