year,num_days_pr,num_days_pr_2030,num_days_pr_2040
1955,27.0,25.29218156255208,25.024641201494852
1956,97.0,90.86450413213156,89.90334061277781
1957,125.0,117.09343315996334,115.85482037729099
1958,104.0,97.4217363890895,96.3912105539061
1959,84.0,78.68678708349537,77.85443929353954
1960,116.0,108.66270597244599,107.51327331012604
1961,86.0,80.56028201405478,79.7081164195762
1962,131.0,122.71391795164159,121.41585175540095
1963,41.0,38.40664607646798,38.00038108375144
1964,130.0,121.77717048636188,120.48901319238263
1965,135.0,126.46090781276041,125.12320600747427
1966,116.0,108.66270597244599,107.51327331012604
1967,105.0,98.35848385436921,97.31804911692443
1968,121.0,113.34644329884452,112.14746612521768
1969,104.0,97.4217363890895,96.3912105539061
1970,129.0,120.84042302108217,119.56217462936429
1971,99.0,92.73799906269097,91.75701773881447
1972,100.0,93.67474652797068,92.68385630183279
1973,118.0,110.5362009030054,109.3669504361627
1974,118.0,110.5362009030054,109.3669504361627
1975,102.0,95.54824145853009,94.53753342786945
1976,118.0,110.5362009030054,109.3669504361627
1977,95.0,88.99100920157214,88.04966348674115
1978,127.0,118.96692809052276,117.70849750332765
1979,134.0,125.5241603474807,124.19636744445594
1980,115.0,107.72595850716628,106.5864347471077
1981,135.0,126.46090781276041,125.12320600747427
1982,101.0,94.61149399325038,93.61069486485111
1983,124.0,116.15668569468363,114.92798181427266
1984,93.0,87.11751427101272,86.1959863607045
1985,125.0,117.09343315996334,115.85482037729099
1986,87.0,81.49702947933449,80.63495498259452
1987,94.0,88.05426173629243,87.12282492372282
1988,104.0,97.4217363890895,96.3912105539061
1989,100.0,93.67474652797068,92.68385630183279
1990,71.0,66.50907003485918,65.80553797430129
1991,118.0,110.5362009030054,109.3669504361627
1992,111.0,103.97896864604745,102.8790804950344
1993,78.0,73.06630229181712,72.29340791542958
1994,89.0,83.3705244098939,82.48863210863118
1995,84.0,78.68678708349537,77.85443929353954
1996,86.0,80.56028201405478,79.7081164195762
1997,118.0,110.5362009030054,109.3669504361627
1998,117.0,109.59945343772569,108.44011187314436
1999,92.0,86.18076680573301,85.26914779768617
2000,121.0,113.34644329884452,112.14746612521768
2001,111.0,103.97896864604745,102.8790804950344
2002,114.0,106.78921104188657,105.65959618408938
2003,27.0,25.29218156255208,25.024641201494852
2004,127.0,118.96692809052276,117.70849750332765
2005,138.0,129.27115020859952,127.90372169652925
2006,117.0,109.59945343772569,108.44011187314436
2007,89.0,83.3705244098939,82.48863210863118
2008,112.0,104.91571611132716,103.80591905805272
2009,135.0,126.46090781276041,125.12320600747427
2010,108.0,101.16872625020832,100.09856480597941
2011,109.0,102.10547371548803,101.02540336899774
2012,97.0,90.86450413213156,89.90334061277781
2013,35.0,32.786161284789735,32.439349705641476
