,Unnamed: 0,1981,2030,2040,2030_1981,2040_1981
0,Jan,6.377687333333338,6.629322380952381,6.794689047619048,1.0394555321493826,1.065384471281028
1,Feb,5.400953666666667,5.936983333333332,5.996371428571429,1.09924722553628,1.110243079028715
2,Mar,4.383098,4.3995676190476205,4.423236666666666,1.0037575292744128,1.0091576019214414
3,Apr,1.7107470000000002,1.681512857142857,1.685722857142857,0.9829114750122939,0.9853723882858523
4,May,0.5931163666666666,0.5453582380952382,0.5478499523809524,0.9194793277416528,0.9236803824178501
5,Jun,0.4238295666666667,0.4053254285714286,0.3997414761904762,0.9563406153073053,0.9431656204034125
6,Jul,0.3898522333333333,0.3839831428571428,0.3810338095238094,0.9849453460199309,0.9773800864647505
7,Aug,0.4746418000000001,0.4077769523809524,0.42946561904761904,0.859125665672413,0.9048204752460043
8,Sep,0.9719398666666668,0.8529100952380952,0.8044404285714286,0.8775338109786647,0.8276648135962478
9,Oct,2.4737400000000003,2.1278904761904758,2.055400952380952,0.860191643499509,0.8308880288069691
10,Nov,4.818817999999999,4.627493333333332,4.492029047619046,0.9602963492983824,0.9321848319689697
11,Dec,6.694917666666668,6.732460476190474,6.66699380952381,1.0056076581360707,0.9958290962588102
