,days_over,return_period
0,3.0,2
1,2.0,2
2,0.0,1
3,1.0,1
8,16.0,30
9,5.0,4
11,21.0,63
17,8.0,8
24,7.0,7
25,4.0,3
48,12.0,16
57,10.0,11
63,6.0,5
64,19.0,45
67,9.0,10
69,14.0,22
80,11.0,14
114,24.0,99
120,17.0,35
163,20.0,51
243,26.0,147
313,18.0,39
440,15.0,26
501,25.0,125
555,13.0,19
977,22.0,72
985,23.0,83
1015,30.0,333
1217,29.0,243
1624,28.0,196
1765,27.0,169
2043,34.0,1250
2050,31.0,434
2832,39.0,5000
3135,33.0,769
4008,35.0,1428
5138,32.0,588
5220,38.0,3333
5866,52.0,10001
6600,54.0,0
8119,36.0,1666
8657,37.0,2500
