,days_over,return_period
0,0.0,1
1,11.0,156
2,1.0,1
3,5.0,16
5,2.0,3
8,6.0,25
11,8.0,53
14,4.0,10
19,3.0,6
38,7.0,35
62,12.0,204
269,9.0,81
562,10.0,113
1051,17.0,1000
1595,19.0,1250
1682,16.0,625
1909,15.0,526
2184,13.0,322
2527,14.0,416
3092,20.0,2000
7408,26.0,10001
9455,22.0,5000
