,days_over,return_period
0,1.0,1
1,7.0,5
2,0.0,1
3,2.0,1
4,14.0,17
7,11.0,10
9,6.0,4
11,22.0,61
12,5.0,3
14,3.0,2
23,9.0,7
41,17.0,28
43,4.0,2
53,8.0,6
55,21.0,53
56,20.0,44
93,15.0,19
100,10.0,8
126,28.0,172
202,13.0,14
221,18.0,34
243,19.0,38
304,26.0,121
311,12.0,12
324,27.0,144
415,30.0,243
447,25.0,104
501,34.0,500
543,23.0,69
739,31.0,294
805,16.0,24
955,37.0,714
964,29.0,208
1007,48.0,3333
1292,24.0,87
1726,33.0,357
2460,35.0,588
3024,41.0,1428
3078,40.0,1111
3244,44.0,2500
3618,38.0,833
4494,39.0,1000
5508,32.0,322
7116,42.0,2000
7385,58.0,10001
7508,36.0,666
9552,64.0,0
9601,53.0,5000
