,days_over,return_period
0,36.0,1.001
1,38.0,1.002002002002002
2,40.0,1.003006012024048
3,41.0,1.0080563947633434
4,43.0,1.0090725806451613
5,44.0,1.0100908173562058
6,45.0,1.011111111111111
7,46.0,1.016243654822335
8,47.0,1.0193482688391038
9,48.0,1.0214285714285714
10,49.0,1.0235173824130879
11,50.0,1.0266666666666666
12,51.0,1.0277207392197125
13,52.0,1.031958762886598
14,53.0,1.036231884057971
15,54.0,1.0383817427385893
16,55.0,1.0416233090530698
17,56.0,1.0427083333333333
18,57.0,1.049266247379455
19,58.0,1.0525762355415351
20,59.0,1.0603813559322033
21,60.0,1.0671641791044777
22,61.0,1.0740343347639485
23,62.0,1.0809935205183585
24,63.0,1.0821621621621622
25,64.0,1.089227421109902
26,65.0,1.0963855421686748
27,66.0,1.1060773480662984
28,67.0,1.1171875
29,68.0,1.123456790123457
30,69.0,1.1387940841865756
31,70.0,1.1466208476517754
32,71.0,1.1558891454965359
33,72.0,1.169392523364486
34,73.0,1.1790341578327443
35,74.0,1.1930870083432659
36,75.0,1.2074788902291917
37,76.0,1.2252141982864138
38,77.0,1.238861386138614
39,78.0,1.2481296758104738
40,79.0,1.2638888888888888
41,80.0,1.2866323907455013
42,81.0,1.3016905071521456
43,82.0,1.3205804749340369
44,83.0,1.338235294117647
45,84.0,1.361904761904762
46,85.0,1.3806896551724137
47,86.0,1.3902777777777777
48,87.0,1.4158415841584158
49,88.0,1.4340974212034383
50,89.0,1.4570596797671034
51,90.0,1.487369985141159
52,91.0,1.5166666666666666
53,92.0,1.5376344086021505
54,93.0,1.5591900311526479
55,94.0,1.599041533546326
56,95.0,1.6276422764227643
57,96.0,1.6518151815181519
58,97.0,1.671118530884808
59,98.0,1.7052810902896083
60,99.0,1.7288428324697755
61,100.0,1.7654320987654322
62,101.0,1.7971274685816876
63,102.0,1.8502772643253236
64,103.0,1.8710280373831776
65,104.0,1.8958333333333333
66,105.0,1.939922480620155
67,106.0,1.9666011787819253
68,107.0,1.9861111111111112
69,108.0,2.0100401606425704
70,109.0,2.0512295081967213
71,110.0,2.0897703549060545
72,111.0,2.1252653927813165
73,112.0,2.138888888888889
74,113.0,2.1666666666666665
75,114.0,2.2146017699115044
76,115.0,2.249438202247191
77,116.0,2.2906178489702516
78,117.0,2.3497652582159625
79,118.0,2.3947368421052633
80,119.0,2.4655172413793105
81,120.0,2.508771929824561
82,121.0,2.5535714285714284
83,122.0,2.566666666666667
84,123.0,2.627296587926509
85,124.0,2.6551724137931036
86,125.0,2.676470588235294
87,126.0,2.683646112600536
88,127.0,2.69811320754717
89,128.0,2.720108695652174
90,129.0,2.7275204359673024
91,130.0,2.7349726775956285
92,131.0,2.75
93,132.0,2.788300835654596
94,133.0,2.8518518518518516
95,134.0,2.9183673469387754
96,135.0,2.935483870967742
97,136.0,2.970326409495549
98,137.0,2.988059701492537
99,138.0,2.997005988023952
100,139.0,3.033333333333333
101,140.0,3.0705521472392636
102,142.0,3.0895061728395063
103,144.0,3.0990712074303404
104,145.0,3.1183800623052957
105,146.0,3.1379310344827585
106,147.0,3.147798742138365
107,148.0,3.1878980891719744
108,149.0,3.2186495176848875
109,150.0,3.260586319218241
110,152.0,3.3036303630363038
111,153.0,3.3366666666666664
