,days_over,return_period
0,6.0,45
1,0.0,1
13,3.0,11
17,4.0,18
18,1.0,3
22,2.0,6
61,7.0,64
236,17.0,1250
351,9.0,119
360,18.0,1666
361,5.0,29
498,12.0,270
792,8.0,86
1241,13.0,357
1256,10.0,158
1465,16.0,909
2134,15.0,555
2388,11.0,181
2754,24.0,5000
3923,20.0,3333
4354,25.0,0
4904,14.0,454
