,days_over,return_period
0,52.0,17
1,27.0,3
2,2.0,1
3,17.0,2
4,11.0,1
5,3.0,1
6,1.0,1
7,20.0,2
8,59.0,26
9,36.0,7
10,5.0,1
13,12.0,1
14,22.0,3
15,23.0,3
16,13.0,1
17,35.0,6
18,60.0,29
20,8.0,1
21,10.0,1
23,32.0,5
24,21.0,2
25,28.0,4
26,33.0,5
27,7.0,1
29,4.0,1
30,9.0,1
31,0.0,1
43,34.0,6
47,31.0,5
48,29.0,4
49,16.0,2
55,56.0,21
57,25.0,3
59,40.0,9
62,49.0,15
63,26.0,3
66,14.0,1
67,6.0,1
69,24.0,3
71,50.0,15
74,15.0,2
86,61.0,70
92,41.0,9
93,64.0,158
96,30.0,4
100,51.0,16
101,18.0,2
108,38.0,8
112,43.0,10
114,47.0,13
116,58.0,25
120,42.0,10
154,48.0,14
157,46.0,12
160,57.0,23
164,37.0,7
200,19.0,2
216,44.0,11
247,45.0,12
269,39.0,8
271,54.0,19
293,65.0,181
381,55.0,20
385,53.0,18
562,66.0,217
571,63.0,123
622,67.0,250
746,69.0,344
1178,81.0,1666
1251,73.0,588
1583,68.0,312
1722,62.0,95
1868,74.0,666
2431,80.0,1428
2630,78.0,1250
2790,75.0,833
2928,72.0,526
3892,77.0,1111
4042,70.0,434
4288,76.0,1000
5102,93.0,0
5303,84.0,5000
9337,83.0,3333
9435,86.0,10001
9566,82.0,2500
