,days_over,return_period
0,0.0,1.0001
1,1.0,1.6243300308591846
2,2.0,3.025105868118572
3,3.0,5.504127682993946
4,4.0,9.672147001934237
5,5.0,16.503300330033003
6,6.0,26.52785145888594
7,7.0,40.32661290322581
8,8.0,59.88622754491018
9,9.0,85.47863247863248
10,10.0,117.65882352941176
11,11.0,172.43103448275863
12,12.0,263.1842105263158
13,13.0,357.17857142857144
14,14.0,526.3684210526316
15,15.0,666.7333333333333
16,16.0,1111.2222222222222
17,17.0,1666.8333333333333
18,18.0,2500.25
19,20.0,5000.5
20,21.0,10001.0
