,days_over,return_period
0,0.0,1
1,3.0,4
2,1.0,1
14,4.0,7
22,2.0,2
34,5.0,11
65,8.0,43
93,7.0,29
154,6.0,19
306,9.0,66
366,10.0,107
677,14.0,625
821,12.0,222
1624,11.0,151
1756,22.0,2000
1915,17.0,1250
3441,13.0,370
3449,15.0,909
4078,28.0,5000
5730,16.0,1111
9964,18.0,1666
