,days_over,return_period,site
482,14.0,222.27777777777777,23
483,15.0,266.73333333333335,23
484,16.0,285.7857142857143,23
485,17.0,307.7692307692308,23
486,18.0,400.1,23
487,19.0,500.125,23
488,22.0,666.8333333333334,23
489,23.0,1000.25,23
490,24.0,2000.5,23
491,26.0,4001.0,23
492,0.0,1.00025,24
493,1.0,2.529077117572693,24
494,2.0,4.630787037037037,24
495,3.0,7.679462571976967,24
496,4.0,12.015015015015015,24
497,5.0,18.87264150943396,24
498,6.0,27.033783783783782,24
499,7.0,40.01,24
500,8.0,51.96103896103896,24
501,9.0,70.19298245614036,24
502,10.0,102.58974358974359,24
503,11.0,117.67647058823529,24
504,12.0,166.70833333333334,24
505,13.0,190.52380952380952,24
506,14.0,235.35294117647058,24
507,15.0,266.73333333333335,24
508,16.0,307.7692307692308,24
509,17.0,333.4166666666667,24
510,18.0,400.1,24
511,19.0,571.5714285714286,24
512,20.0,666.8333333333334,24
513,21.0,800.2,24
514,22.0,1000.25,24
515,23.0,2000.5,24
516,25.0,4001.0,24
517,0.0,1.00025,25
518,1.0,2.366055588409225,25
519,2.0,4.588302752293578,25
520,3.0,7.986027944111776,25
521,4.0,12.99025974025974,25
522,5.0,18.02252252252252,25
523,6.0,26.673333333333332,25
524,7.0,38.84466019417476,25
525,8.0,51.96103896103896,25
526,9.0,70.19298245614036,25
527,10.0,93.04651162790698,25
528,11.0,137.9655172413793,25
529,12.0,200.05,25
530,13.0,210.57894736842104,25
531,14.0,307.7692307692308,25
532,16.0,400.1,25
533,17.0,666.8333333333334,25
534,18.0,800.2,25
535,19.0,1333.6666666666667,25
536,23.0,2000.5,25
537,0.0,1.00025,26
538,1.0,2.5179358086847072,26
539,2.0,4.490460157126824,26
540,3.0,7.46455223880597,26
541,4.0,12.161094224924012,26
542,5.0,18.784037558685448,26
543,6.0,25.98051948051948,26
544,7.0,35.4070796460177,26
545,8.0,46.52325581395349,26
546,9.0,63.507936507936506,26
547,10.0,90.93181818181819,26
548,11.0,117.67647058823529,26
549,12.0,181.86363636363637,26
550,13.0,222.27777777777777,26
551,14.0,285.7857142857143,26
552,15.0,363.72727272727275,26
553,16.0,666.8333333333334,26
554,17.0,1000.25,26
555,19.0,2000.5,26
556,22.0,4001.0,26
557,0.0,1.00025,27
558,1.0,2.424848484848485,27
559,2.0,4.526018099547511,27
560,3.0,7.635496183206107,27
561,4.0,12.124242424242425,27
562,5.0,19.14354066985646,27
563,6.0,28.992753623188406,27
564,7.0,41.677083333333336,27
565,8.0,52.64473684210526,27
566,9.0,72.74545454545455,27
567,10.0,95.26190476190476,27
568,11.0,133.36666666666667,27
569,12.0,190.52380952380952,27
570,13.0,210.57894736842104,27
571,14.0,266.73333333333335,27
572,15.0,363.72727272727275,27
573,16.0,444.55555555555554,27
574,17.0,500.125,27
575,18.0,666.8333333333334,27
576,20.0,800.2,27
577,21.0,1333.6666666666667,27
578,22.0,2000.5,27
579,28.0,4001.0,27
580,0.0,1.00025,28
581,1.0,2.5467854869509865,28
582,2.0,4.630787037037037,28
583,3.0,7.5206766917293235,28
584,4.0,11.943283582089553,28
585,5.0,18.353211009174313,28
586,6.0,27.78472222222222,28
587,7.0,42.56382978723404,28
588,8.0,70.19298245614036,28
589,9.0,102.58974358974359,28
590,10.0,137.9655172413793,28
591,11.0,160.04,28
592,12.0,190.52380952380952,28
593,13.0,235.35294117647058,28
594,14.0,307.7692307692308,28
595,15.0,363.72727272727275,28
596,16.0,444.55555555555554,28
597,17.0,666.8333333333334,28
598,18.0,800.2,28
599,21.0,1333.6666666666667,28
600,23.0,2000.5,28
601,25.0,4001.0,28
602,0.0,1.00025,29
603,1.0,2.566388710711995,29
604,2.0,4.7237308146399055,29
605,3.0,7.875984251968504,29
606,4.0,12.503125,29
607,5.0,18.52314814814815,29
608,6.0,28.57857142857143,29
609,7.0,41.677083333333336,29
610,8.0,63.507936507936506,29
611,9.0,88.91111111111111,29
612,10.0,117.67647058823529,29
613,11.0,173.95652173913044,29
614,12.0,210.57894736842104,29
615,13.0,307.7692307692308,29
616,14.0,363.72727272727275,29
617,15.0,444.55555555555554,29
618,16.0,571.5714285714286,29
619,18.0,666.8333333333334,29
620,19.0,800.2,29
621,20.0,1333.6666666666667,29
622,21.0,4001.0,29
623,0.0,1.00025,30
624,1.0,2.7329234972677594,30
625,2.0,4.982565379825654,30
626,3.0,8.75492341356674,30
627,4.0,13.608843537414966,30
628,5.0,20.51794871794872,30
629,6.0,33.34166666666667,30
630,7.0,46.52325581395349,30
631,8.0,65.59016393442623,30
632,9.0,95.26190476190476,30
633,10.0,121.24242424242425,30
634,11.0,153.8846153846154,30
635,12.0,190.52380952380952,30
636,13.0,235.35294117647058,30
637,14.0,266.73333333333335,30
638,15.0,363.72727272727275,30
639,16.0,571.5714285714286,30
640,18.0,666.8333333333334,30
641,19.0,1000.25,30
642,21.0,1333.6666666666667,30
643,22.0,2000.5,30
644,27.0,4001.0,30
645,0.0,1.00025,31
646,1.0,2.6888440860215055,31
647,2.0,4.964019851116626,31
648,3.0,8.423157894736843,31
649,4.0,12.99025974025974,31
650,5.0,18.353211009174313,31
651,6.0,25.647435897435898,31
652,7.0,37.0462962962963,31
653,8.0,50.64556962025316,31
654,9.0,67.8135593220339,31
655,10.0,97.58536585365853,31
656,11.0,133.36666666666667,31
657,12.0,173.95652173913044,31
658,13.0,210.57894736842104,31
659,14.0,266.73333333333335,31
660,15.0,285.7857142857143,31
661,16.0,400.1,31
662,17.0,444.55555555555554,31
663,18.0,571.5714285714286,31
664,20.0,666.8333333333334,31
665,21.0,800.2,31
666,22.0,1000.25,31
667,25.0,2000.5,31
668,0.0,1.00025,32
669,1.0,2.529077117572693,32
670,2.0,4.7630952380952385,32
671,3.0,8.335416666666667,32
672,4.0,13.03257328990228,32
673,5.0,21.16931216931217,32
674,6.0,29.204379562043794,32
675,7.0,36.706422018348626,32
676,8.0,51.294871794871796,32
677,9.0,74.0925925925926,32
678,10.0,97.58536585365853,32
679,11.0,133.36666666666667,32
680,12.0,181.86363636363637,32
681,13.0,235.35294117647058,32
682,14.0,266.73333333333335,32
683,16.0,333.4166666666667,32
684,17.0,444.55555555555554,32
685,18.0,500.125,32
686,20.0,571.5714285714286,32
687,22.0,800.2,32
688,24.0,1333.6666666666667,32
689,26.0,4001.0,32
690,0.0,1.00025,33
691,1.0,2.516352201257862,33
692,2.0,4.712603062426384,33
693,3.0,7.635496183206107,33
694,4.0,12.161094224924012,33
695,5.0,19.42233009708738,33
696,6.0,29.204379562043794,33
697,7.0,38.10476190476191,33
698,8.0,53.346666666666664,33
699,9.0,76.9423076923077,33
700,10.0,105.28947368421052,33
701,11.0,142.89285714285714,33
702,12.0,190.52380952380952,33
703,13.0,266.73333333333335,33
704,14.0,307.7692307692308,33
705,15.0,400.1,33
706,17.0,444.55555555555554,33
707,18.0,571.5714285714286,33
708,19.0,666.8333333333334,33
709,20.0,800.2,33
710,21.0,2000.5,33
711,22.0,4001.0,33
712,0.0,1.00025,34
713,1.0,2.421912832929782,34
714,2.0,4.5311438278595695,34
715,3.0,7.664750957854406,34
716,4.0,12.31076923076923,34
717,5.0,18.96208530805687,34
718,6.0,27.033783783783782,34
719,7.0,39.22549019607843,34
720,8.0,54.067567567567565,34
721,9.0,75.49056603773585,34
722,10.0,105.28947368421052,34
723,11.0,142.89285714285714,34
724,12.0,200.05,34
725,13.0,266.73333333333335,34
726,14.0,444.55555555555554,34
727,15.0,666.8333333333334,34
728,16.0,800.2,34
729,17.0,1000.25,34
730,18.0,1333.6666666666667,34
731,20.0,2000.5,34
732,22.0,4001.0,34
733,0.0,1.00025,35
734,1.0,2.4576167076167077,35
735,2.0,4.64692218350755,35
736,3.0,7.492509363295881,35
737,4.0,11.630813953488373,35
738,5.0,17.471615720524017,35
739,6.0,25.647435897435898,35
740,7.0,32.52845528455285,35
741,8.0,43.967032967032964,35
742,9.0,58.838235294117645,35
743,10.0,93.04651162790698,35
744,11.0,133.36666666666667,35
745,12.0,200.05,35
746,13.0,307.7692307692308,35
747,14.0,444.55555555555554,35
748,15.0,500.125,35
749,16.0,800.2,35
750,17.0,1000.25,35
751,18.0,1333.6666666666667,35
752,22.0,2000.5,35
753,25.0,4001.0,35
754,0.0,1.00025,36
755,1.0,2.4441050702504583,36
756,2.0,4.593570608495981,36
757,3.0,7.577651515151516,36
758,4.0,12.235474006116208,36
759,5.0,19.612745098039216,36
760,6.0,27.593103448275862,36
761,7.0,41.677083333333336,36
762,8.0,60.621212121212125,36
763,9.0,81.65306122448979,36
764,10.0,97.58536585365853,36
765,11.0,133.36666666666667,36
766,12.0,166.70833333333334,36
767,13.0,190.52380952380952,36
768,14.0,285.7857142857143,36
769,15.0,363.72727272727275,36
770,16.0,400.1,36
771,17.0,444.55555555555554,36
772,18.0,571.5714285714286,36
773,19.0,666.8333333333334,36
774,21.0,1000.25,36
775,24.0,2000.5,36
776,30.0,4001.0,36
777,0.0,1.00025,37
778,1.0,2.3100461893764432,37
779,2.0,4.37746170678337,37
780,3.0,7.5206766917293235,37
781,4.0,12.782747603833865,37
782,5.0,20.838541666666668,37
783,6.0,31.753968253968253,37
784,7.0,44.95505617977528,37
785,8.0,68.98275862068965,37
786,9.0,81.65306122448979,37
787,10.0,125.03125,37
788,11.0,200.05,37
789,12.0,333.4166666666667,37
790,13.0,444.55555555555554,37
791,14.0,571.5714285714286,37
792,16.0,1000.25,37
793,19.0,2000.5,37
794,20.0,4001.0,37
795,0.0,1.00025,38
796,1.0,2.5387055837563453,38
797,2.0,4.826296743063932,38
798,3.0,8.352818371607516,38
799,4.0,12.782747603833865,38
800,5.0,18.186363636363637,38
801,6.0,25.647435897435898,38
802,7.0,35.4070796460177,38
803,8.0,49.39506172839506,38
804,9.0,70.19298245614036,38
805,10.0,102.58974358974359,38
806,11.0,137.9655172413793,38
807,12.0,181.86363636363637,38
808,13.0,190.52380952380952,38
809,14.0,235.35294117647058,38
810,15.0,333.4166666666667,38
811,16.0,500.125,38
812,17.0,571.5714285714286,38
813,19.0,1333.6666666666667,38
814,22.0,2000.5,38
815,38.0,4001.0,38
816,0.0,1.00025,39
817,1.0,2.674465240641711,39
818,2.0,4.951732673267327,39
819,3.0,8.002,39
820,4.0,13.204620462046204,39
821,5.0,20.623711340206185,39
822,6.0,30.541984732824428,39
823,7.0,45.98850574712644,39
824,8.0,57.15714285714286,39
825,9.0,78.45098039215686,39
826,10.0,105.28947368421052,39
827,11.0,148.1851851851852,39
828,12.0,181.86363636363637,39
829,13.0,250.0625,39
830,14.0,307.7692307692308,39
831,15.0,333.4166666666667,39
832,17.0,400.1,39
833,18.0,571.5714285714286,39
834,19.0,1000.25,39
835,20.0,1333.6666666666667,39
836,23.0,2000.5,39
837,26.0,4001.0,39
838,0.0,1.00025,40
839,1.0,2.4470948012232414,40
840,2.0,4.8031212484994,40
841,3.0,8.352818371607516,40
842,4.0,13.07516339869281,40
843,5.0,19.806930693069308,40
844,6.0,29.419117647058822,40
845,7.0,43.02150537634409,40
846,8.0,55.56944444444444,40
847,9.0,95.26190476190476,40
848,10.0,125.03125,40
849,11.0,166.70833333333334,40
850,12.0,181.86363636363637,40
851,13.0,266.73333333333335,40
852,14.0,333.4166666666667,40
853,15.0,400.1,40
854,16.0,500.125,40
855,17.0,571.5714285714286,40
856,18.0,666.8333333333334,40
857,19.0,1333.6666666666667,40
858,21.0,2000.5,40
859,23.0,4001.0,40
860,0.0,1.00025,41
861,1.0,2.3549146556798117,41
862,2.0,4.625433526011561,41
863,3.0,8.335416666666667,41
864,4.0,13.248344370860927,41
865,5.0,20.94764397905759,41
866,6.0,33.34166666666667,41
867,7.0,45.98850574712644,41
868,8.0,68.98275862068965,41
869,9.0,85.12765957446808,41
870,10.0,125.03125,41
871,11.0,160.04,41
872,12.0,222.27777777777777,41
873,13.0,307.7692307692308,41
874,16.0,500.125,41
875,17.0,571.5714285714286,41
876,19.0,1000.25,41
877,20.0,1333.6666666666667,41
878,22.0,4001.0,41
879,0.0,1.00025,42
880,1.0,2.6270518713066315,42
881,2.0,4.674065420560748,42
882,3.0,7.577651515151516,42
883,4.0,11.872403560830861,42
884,5.0,18.353211009174313,42
885,6.0,25.32278481012658,42
886,7.0,36.04504504504504,42
887,8.0,47.63095238095238,42
888,9.0,65.59016393442623,42
889,10.0,85.12765957446808,42
890,11.0,129.06451612903226,42
891,12.0,166.70833333333334,42
892,13.0,235.35294117647058,42
893,14.0,307.7692307692308,42
894,16.0,363.72727272727275,42
895,18.0,400.1,42
896,19.0,571.5714285714286,42
897,22.0,800.2,42
898,23.0,2000.5,42
899,30.0,4001.0,42
900,0.0,1.00025,43
901,1.0,2.282373074729036,43
902,2.0,4.420994475138121,43
903,3.0,8.132113821138212,43
904,4.0,12.864951768488746,43
905,5.0,19.806930693069308,43
906,6.0,29.85820895522388,43
907,7.0,41.24742268041237,43
908,8.0,60.621212121212125,43
909,9.0,83.35416666666667,43
910,10.0,129.06451612903226,43
911,11.0,160.04,43
912,12.0,250.0625,43
913,13.0,444.55555555555554,43
914,14.0,500.125,43
915,15.0,666.8333333333334,43
916,16.0,800.2,43
917,17.0,1000.25,43
918,19.0,1333.6666666666667,43
919,22.0,2000.5,43
