,days_over,return_period
0,7.0,53
1,0.0,1
2,12.0,370
5,3.0,8
8,1.0,2
10,5.0,23
13,4.0,14
14,8.0,75
27,16.0,1250
58,6.0,35
60,2.0,5
61,19.0,5000
62,9.0,112
167,14.0,588
296,11.0,238
637,15.0,1000
816,10.0,163
2056,26.0,10001
4376,13.0,476
6542,17.0,2000
6656,18.0,2500
7573,28.0,0
