,days_over,return_period
0,8.0,97
1,0.0,1
5,3.0,17
8,17.0,1000
26,4.0,28
43,1.0,5
55,7.0,68
61,2.0,10
86,5.0,39
104,11.0,200
206,9.0,129
239,6.0,54
392,13.0,322
838,20.0,5000
907,12.0,285
1017,10.0,163
1552,15.0,526
2184,24.0,10001
2873,16.0,625
3603,14.0,434
3965,25.0,0
4373,19.0,2000
5809,18.0,1250
