,days_over,return_period
0,1.0,1
1,3.0,3
2,2.0,2
3,0.0,1
4,5.0,10
6,4.0,6
14,6.0,16
17,7.0,26
106,9.0,59
166,8.0,40
306,14.0,357
605,13.0,263
850,15.0,416
1025,11.0,114
1077,12.0,172
1365,17.0,1000
1448,10.0,83
2258,28.0,10001
3047,20.0,3333
4248,18.0,2000
5125,16.0,625
6538,26.0,5000
7858,19.0,2500
