,days_over,return_period
0,9.0,39
1,0.0,1
4,2.0,3
6,1.0,1
8,4.0,7
11,16.0,222
18,7.0,21
22,3.0,4
31,6.0,15
58,5.0,10
64,10.0,52
71,8.0,30
253,12.0,78
263,11.0,62
330,14.0,119
380,13.0,97
386,15.0,158
1506,18.0,384
2134,37.0,10001
2672,17.0,303
2942,19.0,625
3299,20.0,714
3376,21.0,769
4628,23.0,1111
5177,24.0,1666
6778,29.0,5000
7892,26.0,2500
9250,28.0,3333
9956,22.0,1000
