,days_over,return_period
0,4.0,1
1,34.0,256
2,5.0,1
4,7.0,2
5,3.0,1
6,13.0,7
8,11.0,5
11,14.0,8
13,9.0,3
15,8.0,3
17,12.0,6
18,2.0,1
20,1.0,1
23,6.0,2
29,10.0,4
36,16.0,12
48,30.0,109
51,25.0,48
55,19.0,20
59,21.0,27
64,28.0,79
73,24.0,44
75,15.0,10
84,26.0,56
93,23.0,37
101,17.0,14
117,0.0,1
126,27.0,63
133,18.0,17
177,42.0,833
187,33.0,196
221,22.0,31
231,29.0,94
441,20.0,23
1299,32.0,156
1404,31.0,129
1586,41.0,714
2123,43.0,1000
2744,39.0,588
2847,44.0,1250
3360,37.0,454
3417,49.0,3333
3858,35.0,322
5817,45.0,2000
5952,57.0,0
7132,52.0,10001
7495,38.0,476
7572,36.0,416
