,days_over,return_period
0,24.0,22
1,29.0,40
2,2.0,1
3,5.0,1
4,6.0,2
6,13.0,5
9,0.0,1
10,7.0,2
11,1.0,1
13,4.0,1
14,8.0,2
16,12.0,4
19,16.0,8
28,26.0,28
31,3.0,1
33,11.0,4
34,14.0,6
37,9.0,3
38,18.0,10
41,23.0,20
48,15.0,7
51,39.0,156
54,17.0,9
55,53.0,769
66,20.0,14
83,19.0,12
84,10.0,3
89,21.0,15
93,34.0,90
130,27.0,32
177,60.0,2500
227,44.0,303
264,25.0,24
352,32.0,68
369,40.0,192
384,31.0,58
387,36.0,119
410,33.0,80
572,54.0,1000
641,49.0,454
810,22.0,18
816,28.0,35
853,30.0,47
920,37.0,129
950,48.0,400
960,50.0,526
1188,35.0,105
1289,61.0,3333
1888,52.0,714
2143,47.0,370
2272,38.0,140
2297,42.0,243
2357,65.0,10001
3330,55.0,1250
3411,51.0,625
5693,46.0,357
5721,45.0,333
5789,41.0,217
7263,56.0,2000
7584,43.0,277
