,days_over,return_period
0,0.0,1.0001
1,1.0,3.4653499653499655
2,2.0,7.402664692820133
3,3.0,13.370320855614974
4,4.0,21.93201754385965
5,5.0,35.33922261484099
6,6.0,54.650273224043715
7,7.0,85.47863247863248
8,8.0,123.46913580246914
9,9.0,178.58928571428572
10,10.0,204.10204081632654
11,11.0,232.58139534883722
12,12.0,285.74285714285713
13,13.0,370.4074074074074
14,14.0,476.23809523809524
15,15.0,666.7333333333333
16,16.0,1111.2222222222222
17,18.0,1666.8333333333333
18,19.0,2500.25
19,20.0,3333.6666666666665
20,25.0,5000.5
21,27.0,10001.0
