,days_over,return_period
0,5.0,11
1,0.0,1
6,1.0,2
8,6.0,16
11,10.0,51
13,21.0,625
14,3.0,5
19,2.0,3
28,4.0,8
69,12.0,80
104,19.0,344
105,11.0,62
124,8.0,29
141,7.0,22
162,9.0,38
211,15.0,158
213,13.0,102
344,20.0,476
636,16.0,192
673,17.0,238
675,14.0,123
3164,22.0,909
3418,18.0,303
3430,24.0,1428
5627,36.0,10001
6172,23.0,1250
6382,27.0,3333
6678,26.0,2500
8248,28.0,5000
