,days_over,return_period,site
0,0.0,1.0333333333333334,1
1,1.0,3.1,1
2,2.0,6.2,1
3,3.0,10.333333333333334,1
4,4.0,15.5,1
5,6.0,31.0,1
6,0.0,1.0333333333333334,2
7,1.0,3.875,2
8,2.0,6.2,2
9,3.0,7.75,2
10,7.0,15.5,2
11,11.0,31.0,2
12,0.0,1.0333333333333334,3
13,1.0,5.166666666666667,3
14,2.0,6.2,3
15,8.0,15.5,3
16,12.0,31.0,3
17,0.0,1.0333333333333334,4
18,1.0,3.875,4
19,3.0,7.75,4
20,7.0,15.5,4
21,0.0,1.0333333333333334,5
22,1.0,2.3846153846153846,5
23,2.0,7.75,5
24,3.0,15.5,5
25,6.0,31.0,5
26,0.0,1.0333333333333334,6
27,1.0,3.1,6
28,2.0,6.2,6
29,11.0,31.0,6
30,0.0,1.0333333333333334,7
31,1.0,2.2142857142857144,7
32,3.0,7.75,7
33,11.0,31.0,7
34,0.0,1.0333333333333334,8
35,1.0,2.8181818181818183,8
36,3.0,6.2,8
37,4.0,15.5,8
38,12.0,31.0,8
39,0.0,1.0333333333333334,9
40,1.0,2.5833333333333335,9
41,2.0,3.875,9
42,3.0,7.75,9
43,4.0,15.5,9
44,6.0,31.0,9
45,0.0,1.0333333333333334,10
46,1.0,2.2142857142857144,10
47,2.0,4.428571428571429,10
48,3.0,10.333333333333334,10
49,4.0,15.5,10
50,5.0,31.0,10
51,0.0,1.0333333333333334,11
52,1.0,2.3846153846153846,11
53,2.0,4.428571428571429,11
54,3.0,7.75,11
55,5.0,15.5,11
56,0.0,1.0333333333333334,12
57,1.0,2.066666666666667,12
58,2.0,4.428571428571429,12
59,3.0,6.2,12
60,5.0,31.0,12
61,0.0,1.0333333333333334,13
62,1.0,2.5833333333333335,13
63,2.0,3.4444444444444446,13
64,3.0,7.75,13
65,5.0,15.5,13
66,0.0,1.0333333333333334,14
67,1.0,3.4444444444444446,14
68,2.0,6.2,14
69,3.0,7.75,14
70,4.0,10.333333333333334,14
71,5.0,15.5,14
