,days_over,return_period
0,16.0,1.0001
1,18.0,1.0002000200020003
2,19.0,1.0004001200360109
3,20.0,1.000500200080032
4,21.0,1.000600300150075
5,22.0,1.0007004202521512
6,23.0,1.0012013214535989
7,24.0,1.0014018223690797
8,25.0,1.002003807233744
9,26.0,1.0025060144346432
10,27.0,1.0028075804672616
11,28.0,1.0041164658634538
12,29.0,1.0051256281407035
13,30.0,1.0065418679549114
14,31.0,1.0084703035192095
15,32.0,1.0103040711182947
16,33.0,1.01286206198096
17,34.0,1.0154330388871966
18,35.0,1.0187429968422126
19,36.0,1.0222835531023204
20,37.0,1.0258488050056416
21,38.0,1.0304997424008244
22,39.0,1.0359436503003936
23,40.0,1.0396049896049897
24,41.0,1.0454735521639138
25,42.0,1.0497533326335677
26,43.0,1.054512863770561
27,44.0,1.0595402055302467
28,45.0,1.0657502131287298
29,46.0,1.0719185423365487
30,47.0,1.0785074948776017
31,48.0,1.088129692090088
32,49.0,1.094920078826363
33,50.0,1.1025245287178922
34,51.0,1.1106052193225986
35,52.0,1.1198074123838315
36,53.0,1.1275084554678692
37,54.0,1.1362190411270165
38,55.0,1.1448031135531136
39,56.0,1.152587299757981
40,57.0,1.1612865768694844
41,58.0,1.170255090100632
42,59.0,1.1786682380671774
43,60.0,1.1880494179139938
44,61.0,1.213124696749151
45,62.0,1.239281288723668
46,63.0,1.2649886162408297
47,64.0,1.2917850684577628
48,65.0,1.3200897571277719
49,66.0,1.3531321877959681
50,67.0,1.3857558542330608
51,68.0,1.4220105218256789
52,69.0,1.4576592333479084
53,70.0,1.4944710101613867
54,71.0,1.5367240319606639
55,72.0,1.574216905399024
56,73.0,1.6151485788113695
57,74.0,1.6560688855770822
58,75.0,1.697674418604651
59,76.0,1.7420310050513848
60,77.0,1.7855740046420283
61,78.0,1.8333638863428048
62,79.0,1.8795339221950762
63,80.0,1.9262326656394453
64,81.0,1.9792202651889967
65,82.0,2.0352055352055354
66,83.0,2.083975828297562
67,84.0,2.131954807077382
68,85.0,2.1855332167832167
69,86.0,2.2338619611346884
70,87.0,2.285942857142857
71,88.0,2.335590845399346
72,89.0,2.3874433038911436
73,90.0,2.454233128834356
74,91.0,2.6891637536972306
75,92.0,2.9081128234952023
76,93.0,3.1097636815920398
77,94.0,3.3281198003327788
78,95.0,3.5351714386709086
79,96.0,3.7711161387631975
80,97.0,4.026167471819646
81,98.0,4.275758871312527
82,99.0,4.587614678899082
83,100.0,4.897649363369246
84,101.0,5.2416142557651995
85,102.0,5.574693422519509
86,103.0,5.903778040141677
87,104.0,6.242821473158552
88,105.0,6.575279421433268
89,106.0,6.935506241331484
90,107.0,7.289358600583091
91,108.0,7.646024464831804
92,109.0,8.15742251223491
93,110.0,8.711672473867596
94,111.0,9.192095588235293
95,112.0,9.824165029469548
96,113.0,10.22597137014315
97,114.0,10.707708779443255
98,115.0,11.186800894854587
99,116.0,11.977245508982035
100,117.0,12.887886597938145
101,118.0,13.75653370013755
102,119.0,14.68575624082232
103,120.0,15.749606299212598
104,121.0,16.724080267558527
105,122.0,33.336666666666666
106,123.0,42.73931623931624
107,124.0,51.55154639175258
108,125.0,65.79605263157895
109,126.0,81.3089430894309
110,127.0,97.09708737864078
111,128.0,116.29069767441861
112,129.0,137.0
113,130.0,151.53030303030303
114,131.0,166.68333333333334
115,132.0,178.58928571428572
116,133.0,192.32692307692307
117,134.0,208.35416666666666
118,135.0,232.58139534883722
119,136.0,263.1842105263158
120,137.0,333.3666666666667
121,138.0,370.4074074074074
122,139.0,416.7083333333333
123,140.0,476.23809523809524
124,141.0,588.2941176470588
125,143.0,666.7333333333333
126,144.0,714.3571428571429
127,145.0,769.3076923076923
128,146.0,1111.2222222222222
129,151.0,1666.8333333333333
130,153.0,3333.6666666666665
