//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2013 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//	Código da Estação:1943035
//
//------------------------------------------------------------------------------
//EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
1943035;1;01/07/2012;1;0;0;1;0;1;1;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943035;1;01/08/2012;1;6,2;29,5;16;10;1;1;1;;0;0;0;0;0;0;0;0;0;0;0;0;3,5;0;1,3;3,8;6,2;1;1,4;5,3;0;4,4;0;2,4;0,2;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943035;1;01/03/2013;1;18,9;74;27;;1;1;0;;0;10;0;0;0;0;0;9,2;5,3;0;0;0;0;0;;;;;;;;;;;;8,7;9,3;18,9;0;8,9;3,7;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;4;1;1;1;1;1;1;
1943035;1;01/01/2013;1;41,2;285,4;18;17;1;1;1;;0;0;0;0;0;0;0;0;3,6;0;0;10,7;36,4;4,1;5,3;0;14,5;18,7;41,2;22,9;0;27,6;0;0;0;4,2;1,7;1,4;19,2;28,5;39,5;5,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943035;1;01/02/2013;1;199,1;305,2;6;6;1;1;1;;0;11,8;0;0;10,3;19,1;199,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9;64;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
1943035;1;01/10/2012;1;12,9;55,8;31;7;1;1;1;;0;0;0;0;0;0;0;0;0;0;0;0;6,8;0;4,7;0;0;0;0;2,1;0;0;10,7;0;0;0;0;0;0;12,7;5,9;12,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943035;1;01/12/2012;1;50,5;118,6;11;10;1;1;1;;0;0;0;0;5,7;0;0;0;3,5;8,8;24,6;50,5;1,7;0;0;1;0;0;0;0;4,1;0;0;0;0;15,7;0;0;3;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943035;1;01/11/2012;1;40,9;250;25;22;1;1;1;;0;10,3;25,2;3,2;33,4;3,3;0;1,5;2;16,9;20,3;2,6;3,7;6;5,2;26,3;7,5;2,9;0;0,8;13,2;0;0;0;0;40,9;3,9;18,9;2;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1943035;1;01/04/2013;1;25,9;85,9;10;12;1;1;1;;0;0;0,8;0;0;3,7;0;0;0,3;3,5;25,9;7,9;2,5;7;17,4;0;12,7;3,3;0,9;0;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1943035;1;01/10/2010;1;57,7;133,2;2;13;1;1;1;;0;0;57,7;2,3;12,3;0;0;0,4;2,8;3,7;0;0;6,9;0;0;0;0;0;1,6;3,7;2,9;0;0;0;0;6,4;0;1,5;0;0;0;31;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
