,Unnamed: 0,1981,2030,2040,2030_1981,2040_1981
0,Jan,23.59917666666667,24.99902857142857,25.38327142857143,1.0593178280977558,1.0755998731271315
1,Feb,23.69793666666666,24.98103809523809,25.336119047619054,1.0541440145874064,1.0691276377346661
2,Mar,23.04592,24.285047619047614,24.73047142857143,1.0537677653592312,1.073095429844911
3,Apr,21.545286666666666,22.928095238095242,23.39958095238095,1.0641814886393672,1.0860649623466425
4,May,19.44576,20.889209523809523,21.419952380952374,1.074229524781213,1.1015230251197368
5,Jun,17.720990000000004,19.22844761904762,19.70881904761905,1.0850662191586145,1.1121737017863587
6,Jul,17.48267333333333,18.871647619047614,19.34408095238095,1.0794486208848848,1.1064715666509977
7,Aug,18.880946666666667,20.372238095238085,20.781461904761905,1.078983933109891,1.1006578362646666
8,Sep,21.490606666666668,23.071004761904764,23.586157142857143,1.0735390172902561,1.097510066081141
9,Oct,23.36703666666667,25.15706666666667,25.76799047619048,1.0766049210918343,1.1027496059416382
10,Nov,23.578840000000003,25.44539523809524,26.082419047619048,1.0791623013725542,1.1061790591742022
11,Dec,23.53533333333333,24.974761904761905,25.539885714285717,1.0611603222712762,1.0851720412267678
