year,num_days_pr,num_days_pr_2030,num_days_pr_2040
1941,142.0,133.7047164637087,132.29038974660503
1942,156.0,146.88687160801803,145.33310422866467
1943,142.0,133.7047164637087,132.29038974660503
1944,126.0,118.63939629878378,117.38443033853686
1945,155.0,145.9452890977102,144.4014817656604
1946,90.0,84.7424259277027,83.84602167038346
1947,124.0,116.75623127816817,115.52118541252834
1948,130.0,122.40572634001502,121.1109201905539
1949,120.0,112.98990123693694,111.79469556051129
1950,108.0,101.69091111324325,100.61522600446017
1951,98.0,92.27508601016517,91.29900137441756
1952,193.0,181.72542448940692,179.80313535982233
1953,240.0,225.9798024738739,223.58939112102257
1954,152.0,143.12054156678678,141.60661437664763
1955,202.0,190.19966708217717,188.18773752686067
1956,226.0,212.79764732956457,210.54667663896294
1957,306.0,288.1242481541892,285.0764736793038
1958,264.0,248.57778272126126,245.94833023312484
1959,180.0,169.4848518554054,167.69204334076693
1960,222.0,209.03131728833333,206.8201867869459
1961,48.0,45.19596049477477,44.71787822420452
1968,21.0,19.773232716463966,19.564071723089477
1969,96.0,90.39192098954955,89.43575644840904
1970,90.0,84.7424259277027,83.84602167038346
1971,78.0,73.44343580400901,72.66655211433233
1972,97.0,91.33350349985736,90.3673789114133
1973,92.0,86.62559094831832,85.70926659639198
1974,102.0,96.0414160513964,95.0254912264346
1975,102.0,96.0414160513964,95.0254912264346
1976,98.0,92.27508601016517,91.29900137441756
1977,66.0,62.144445680315314,61.48708255828121
1978,127.0,119.58097880909159,118.31605280154112
1979,117.0,110.16515370601351,108.9998281714985
1980,104.0,97.92458107201202,96.88873615244312
1981,133.0,125.23047387093844,123.90578757956668
1982,108.0,101.69091111324325,100.61522600446017
1983,137.0,128.99680391216967,127.63227743158373
1984,58.0,54.61178559785285,54.034102854247124
1985,113.0,106.39882366478228,105.27333831948147
1986,76.0,71.56027078339339,70.80330718832381
1987,95.0,89.45033847924174,88.50413398540478
1988,67.0,63.086028190623125,62.41870502128547
1989,79.0,74.38501831431682,73.59817457733661
1990,77.0,72.5018532937012,71.73492965132807
1991,64.0,60.2612806596997,59.62383763227269
1992,142.0,133.7047164637087,132.29038974660503
1993,118.0,111.10673621632132,109.93145063450277
1994,145.0,136.52946399463212,135.0852571356178
1995,178.0,167.6016868347898,165.8287984147584
1996,199.0,187.37491955125375,185.3928701378479
1997,230.0,216.5639773707958,214.27316649097997
1998,260.0,244.81145268003004,242.2218403811078
1999,260.0,244.81145268003004,242.2218403811078
2000,348.0,327.6707135871171,324.20461712548274
2001,334.0,314.4885584428078,311.1619026434231
2002,171.0,161.01060926263514,159.3074411737286
2003,28.0,26.36431028861862,26.085428964119302
2004,178.0,167.6016868347898,165.8287984147584
2005,279.0,262.7015203758784,259.92266717818876
2006,146.0,137.47104650493995,136.01687959862207
2007,128.0,120.5225613193994,119.24767526454538
2008,192.0,180.7838419790991,178.87151289681807
2009,187.0,176.07592942756006,174.21340058179678
2010,166.0,156.3026967110961,154.6493288587073
2011,135.0,127.11363889155406,125.7690325055752
2012,124.0,116.75623127816817,115.52118541252834
2013,60.0,56.49495061846847,55.89734778025564
