,gauge,date,total_pr,num_days_pr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,month,year,2030_1981,2040_1981,total_pr_scenario,num_days_pr_scenario
0,1943003,01/03/1941,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10.091576019214415,5.85311409114436,0.5045788009607207,0.7064103213450089,0.4036630407685766,0.0,0.0,3,1941,1.0037575292744128,1.0091576019214414,17.55934227343308,2
1,1943003,01/04/1941,64.0,12.0,0.5912234329715114,26.802128961375185,2.6605054483718016,4.5327129861149205,3.0546544036861425,0.4926861941429262,0.0,4.13856403080058,15.864495451402226,0.0,0.0,0.0,3.9414895531434095,0.0,0.0,0.0,0.0,0.0,0.5912234329715114,0.19707447765717048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19707447765717048,0.0,0.0,,4,1941,0.982911475012294,0.9853723882858524,63.06383285029456,7
2,1943003,01/05/1941,9.4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6947215296714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18473607648357002,0.0,2.863409185495335,1.2007844971432051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09236803824178501,0.18473607648357002,0.461840191208925,5,1941,0.9194793277416528,0.92368038241785,8.68259559472779,3
3,1943003,01/06/1941,0.9,4.0,0.1886331240806825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09431656204034125,0.377266248161365,0.0,0.1886331240806825,,6,1941,0.9563406153073052,0.9431656204034125,0.8488490583630712,0
4,1943003,01/07/1941,111.1,23.0,0.19547601729295008,0.0,0.19547601729295008,0.09773800864647504,0.39095203458590017,0.19547601729295008,0.0,0.0,0.2932140259394251,27.56211843830596,6.255232553374403,5.864280518788503,3.029878268040726,1.9547601729295008,4.104996363151952,4.984638440970227,15.638081383436006,13.292369175920605,4.104996363151952,8.209992726303904,6.352970562020878,4.007258354505476,0.9773800864647504,0.39095203458590017,0.2932140259394251,0.19547601729295008,0.0,0.0,0.0,0.0,0.0,7,1941,0.9849453460199308,0.9773800864647504,108.58692760623376,13
5,1943003,01/08/1941,2.8,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5428922851476026,0.36192819009840177,0.09048204752460044,0.0,0.36192819009840177,0.7238563801968035,0.2714461425738013,0.18096409504920088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1941,0.859125665672413,0.9048204752460044,2.533497330688812,0
6,1943003,01/09/1941,76.9,28.0,0.0,13.15987053618034,0.3310659254384991,0.49659888815774866,0.4138324067981239,0.16553296271924955,0.0,0.49659888815774866,0.5793653695173734,7.283450359646981,0.16553296271924955,5.297054807015986,0.24829944407887433,0.6621318508769982,3.476192217104241,3.310659254384991,1.7380961085521205,4.303857030700488,1.6553296271924955,0.16553296271924955,0.3310659254384991,0.49659888815774866,0.24829944407887433,1.1587307390347468,4.303857030700488,5.7936536951737345,3.476192217104241,3.227892773025366,0.49659888815774866,0.16553296271924955,,9,1941,0.8775338109786647,0.8276648135962478,63.64742416555144,13
7,1943003,01/10/1941,154.5,20.0,0.0,1.6617760576139382,0.4985328172841814,9.056679513995963,9.472123528399448,8.973590711115268,0.9970656345683628,0.9970656345683628,5.317683384364603,8.973590711115268,1.4955984518525445,4.32061774979624,3.6559073267506643,1.7448648604946353,5.151505778603209,9.472123528399448,44.867953555576335,5.89930500452948,4.902239369961118,0.8308880288069691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08308880288069692,10,1941,0.860191643499509,0.8308880288069691,128.3722004506767,15
8,1943003,01/11/1941,148.1,16.0,2.982991462300703,0.0,0.0,0.0,0.0,0.0,4.28805022705726,30.38922552218841,25.635082879146665,0.0,0.0,0.0,6.338856857388993,0.5593108991813818,0.0,9.321848319689696,9.50828528608349,0.7457478655751757,0.9321848319689696,0.0,0.0,0.0,26.660486194312533,0.0,0.0,0.18643696639379392,1.3982772479534544,13.703117029943853,0.37287393278758785,5.033798092632436,,11,1941,0.9602963492983824,0.9321848319689696,138.05657361460442,11
9,1943003,01/12/1941,291.4,25.0,14.140773166875105,10.854537149221033,16.43118008827037,5.377477119797575,2.5891556502729065,0.0,5.178311300545813,2.9874872887764305,9.559959324084577,0.0,0.0,0.0,0.0,0.0,48.994791535933466,32.06569689953369,1.2945778251364533,0.9958290962588102,2.7883214695246683,0.6970803673811671,3.3858189272799546,0.5974974577552861,46.40563588566056,4.680396752416408,1.5933265540140964,24.29822994871497,18.42283828078799,0.09958290962588102,4.182482204287003,11.252868787724557,21.310742659938537,12,1941,1.005607658136071,0.9958290962588102,290.18459864981725,21
10,1943003,01/01/1942,339.3,20.0,0.21307689425620557,22.15999700264538,4.4746147793803175,25.56922731074467,4.58115322650842,23.864612156695024,33.98576463386479,26.8476886762819,25.675765757872774,27.060765570538106,6.392306827686167,3.409230308099289,0.0,0.0,0.0,24.290765945207436,8.523075770248223,32.49422637407135,0.0,0.0,25.782304205000873,3.8353840966117003,0.6392306827686167,43.89384021677835,17.791920670393164,0.0,0.0,0.0,0.0,0.0,0.0,1,1942,1.0394555321493826,1.0653844712810279,361.4849511056527,18
11,1943003,01/02/1942,139.7,16.0,0.0,0.0,0.0,0.0,1.3322916948344579,0.0,0.0,0.222048615805743,4.44097231611486,1.3322916948344579,3.330729237086145,2.6645833896689157,3.108680621280402,1.554340310640201,3.330729237086145,6.439409858366547,0.5551215395143575,20.095399730419743,61.28541796238507,9.992187711258435,0.0,0.0,0.0,0.0,0.0,0.0,7.327604321589519,28.08914989942649,,,,2,1942,1.09924722553628,1.110243079028715,155.1009581403115,14
12,1943003,01/03/1942,170.4,13.0,25.32985580822818,9.284249937677261,0.10091576019214415,55.100005064910704,23.61428788496173,1.6146521630743065,7.06410321345009,3.431135846532901,36.531505189556185,5.045788009607207,0.0,0.0,0.0,0.0,0.0,2.3210624844193153,1.513736402882162,0.0,0.0,1.0091576019214414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1942,1.0037575292744128,1.0091576019214414,171.96045536741363,12
13,1943003,01/04/1942,54.1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39414895531434097,6.109308807372285,0.0,0.0,0.0,0.0,0.0,0.19707447765717048,4.040026791971995,16.35718164554515,7.685904628629649,3.9414895531434095,1.3795213436001932,6.897606718000967,2.1678192542288754,0.0,0.0,1.1824468659430227,0.39414895531434097,0.09853723882858524,2.463430970714631,0.0,0.0,,4,1942,0.982911475012294,0.9853723882858524,53.30864620626461,10
14,1943003,01/05/1942,17.5,4.0,0.0,0.0,0.0,0.0,0.36947215296714003,1.4778886118685601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.03994181275132,0.277104114725355,0.0,0.0,0.0,0.0,5,1942,0.9194793277416528,0.92368038241785,16.164406692312376,2
15,1943003,01/06/1942,6.4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9431656204034125,0.09431656204034125,0.0,0.0,0.0,0.1886331240806825,0.0,0.0,0.0,0.377266248161365,0.09431656204034125,2.4522306130488722,1.886331240806825,,6,1942,0.9563406153073052,0.9431656204034125,6.03625997058184,2
16,1943003,01/07/1942,0.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19547601729295008,0.09773800864647504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1942,0.9849453460199308,0.9773800864647504,0.29321402593942514,0
17,1943003,01/08/1942,3.3,4.0,0.0,1.628676855442808,1.0857845702952051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18096409504920088,0.09048204752460044,0.0,0.0,0.0,0.0,0.0,8,1942,0.859125665672413,0.9048204752460044,2.985907568311814,2
18,1943003,01/09/1942,99.5,11.0,0.0,0.0,0.0,0.0,0.0,0.16553296271924955,6.621318508769982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.435378874997225,32.60999365569216,6.290252583331482,0.16553296271924955,0.0,2.234694996709869,3.5589586984638655,11.173474983549346,1.7380961085521205,0.0,0.0,0.0,0.0,8.359414617322102,,9,1942,0.8775338109786647,0.8276648135962478,82.35264895282664,9
19,1943003,01/10/1942,104.4,16.0,0.16617760576139384,0.0,1.4125096489718474,1.7448648604946353,0.0,0.4985328172841814,0.16617760576139384,0.0,0.6647104230455754,0.0,0.0,0.0,0.0,0.3323552115227877,22.35088797490747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16617760576139384,8.142702682308299,29.496525022647404,6.148571413171572,8.807413105353872,5.816216201648784,0.6647104230455754,0.16617760576139384,10,1942,0.860191643499509,0.8308880288069691,86.74471020744757,8
20,1943003,01/11/1942,289.2,23.0,5.22023505902623,0.18643696639379392,2.610117529513115,0.09321848319689696,0.0,1.0254033151658666,0.0,0.0,53.50740935501886,7.830352588539345,6.711730790176581,2.796554495906909,6.711730790176581,8.016789554933139,18.08438574019801,25.72830136234356,12.491276748384193,16.033579109866277,2.423680563119321,8.203226521326933,16.59289000904766,0.09321848319689696,0.0,0.0,0.0,0.9321848319689696,1.0254033151658666,42.880502270572606,0.0,30.38922552218841,,11,1942,0.9602963492983824,0.9321848319689696,269.587853405426,19
21,1943003,01/12/1942,477.1,26.0,40.629827127359455,54.37226865573104,29.07820961075726,2.5891556502729065,6.2737233064305045,8.76329604707753,9.360793504832817,14.738270624630392,36.24817910382069,4.381648023538765,7.7674669508187195,0.0,0.0,30.472370345519593,14.937436443882154,0.0,1.3941607347623342,25.094893225722018,0.5974974577552861,0.0,0.0,0.09958290962588102,0.6970803673811671,0.29874872887764303,16.132431359392726,32.66319435728897,19.916581925176203,78.37174987556837,9.161627685581053,20.713245202183252,10.356622601091626,12,1942,1.005607658136071,0.9958290962588102,475.11006182507833,22
22,1943003,01/01/1943,274.8,21.0,26.421534887769493,3.409230308099289,34.3053799752491,13.317305891012849,25.995381099257077,12.358459866859922,0.21307689425620557,9.588460241529251,0.7457691298967195,4.58115322650842,8.309998875992017,23.225381473926408,0.9588460241529251,0.8523075770248223,18.111536011777474,8.949229558760635,45.811532265084196,21.733843214132968,14.276151915165773,8.523075770248223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.07999850132269,0.0,0.0,1,1943,1.0394555321493826,1.0653844712810279,292.76765270802645,17
23,1943003,01/02/1943,175.9,11.0,0.0,40.190799460839486,35.41675422101601,1.2212673869315867,0.0,0.0,0.0,0.888194463222972,0.0,0.0,26.75685820459203,1.3322916948344579,0.0,13.21189264044171,24.758420662340345,7.549652937395262,39.08055638181077,4.885069547726347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2,1943,1.09924722553628,1.110243079028715,195.29175760115098,10
24,1943003,01/03/1943,188.2,19.0,0.0,0.0,0.0,0.0,2.2201467242271713,37.74249431186191,42.485535040892685,0.2018315203842883,11.504396661904433,9.082418417292972,8.47692385614011,32.696706302254704,8.880586896908685,10.49523905998299,8.47692385614011,9.889744498830126,0.10091576019214415,0.0,0.0,0.0,0.0,1.9173994436507387,0.10091576019214415,0.0,1.513736402882162,0.0,0.0,0.5045788009607207,0.8073260815371532,0.0,2.8256412853800357,3,1943,1.0037575292744128,1.0091576019214414,189.9234606816153,14
25,1943003,01/04/1943,47.7,20.0,3.4488033590004834,1.9707447765717048,0.0,0.0,0.09853723882858524,0.39414895531434097,0.0,0.0,0.0,0.0,4.8283247026006775,1.0839096271144377,0.0,0.19707447765717048,6.601995001515212,0.2956117164857557,0.09853723882858524,3.4488033590004834,2.2663564930574602,2.6605054483718016,2.06928201540029,0.0,3.1531916425147277,2.7590426872003864,8.572739778086914,2.5619682095432164,0.0,0.19707447765717048,0.2956117164857557,0.0,,4,1943,0.982911475012294,0.9853723882858524,47.00226292123516,13
26,1943003,01/05/1943,19.3,6.0,0.18473607648357002,16.07203865407059,0.55420822945071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09236803824178501,0.0,0.55420822945071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36947215296714003,0.0,0.0,0.0,0.0,0.0,0.0,5,1943,0.9194793277416528,0.92368038241785,17.827031380664508,1
27,1943003,01/06/1943,11.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.903239014235831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75453249632273,0.09431656204034125,0.0,0.1886331240806825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6,1943,0.9563406153073052,0.9431656204034125,10.940721196679585,1
