,elnino_metric,month,n,p_value,r_value,sig,station
0,nino3a,8.0,69.0,0.18372373023989194,0.16193795319362544,0.0,1943025
0,nino3.4a,7.0,60.0,0.2105191495206672,0.16400330806217284,0.0,1843002
0,nino3a,7.0,68.0,0.16762944280222541,0.16926065882875804,0.0,1943025
0,nino3.4a,7.0,68.0,0.16330664364367334,0.17097390350168457,0.0,1943025
0,nino4a,8.0,64.0,0.16100458541968718,0.17731549714708483,0.0,1943003
0,nino3a,5.0,69.0,0.13600981773677154,0.18129428626646277,0.0,1943025
0,nino3.4a,1.0,63.0,0.14465064272838962,0.18589398367243673,0.0,1943003
0,nino3a,1.0,63.0,0.14386117710149038,0.18625369510891865,0.0,1943003
0,nino12a,4.0,60.0,0.13997784992873197,0.19279747345973372,0.0,1843002
0,nino12a,1.0,68.0,0.10937329549993262,0.19589736432375227,0.0,1943025
0,nino3a,7.0,65.0,0.108858006728665,0.20073562494815844,0.0,1943003
0,nino12a,1.0,63.0,0.10663832597894222,0.20521992503006092,0.0,1943003
0,nino12a,1.0,58.0,0.10382344462332885,0.21575506179188686,0.0,1943035
0,nino12a,5.0,69.0,0.06987910711975782,0.21956258140047175,0.0,1943025
0,nino3a,1.0,68.0,0.06756894811331118,0.22299600374037537,0.0,1943025
0,nino12a,9.0,62.0,0.0789392299847443,0.22483249240857459,0.0,1843002
0,nino3.4a,1.0,68.0,0.0647588872609279,0.22526009333015798,0.0,1943025
0,nino3a,8.0,64.0,0.07332335120127853,0.22540369048999814,0.0,1943003
0,nino3a,4.0,69.0,0.057439122312050686,0.2298540252873795,0.0,1943025
0,nino3a,1.0,58.0,0.08077713652511219,0.2312017425102963,0.0,1943035
0,nino3.4a,1.0,58.0,0.07978667773663596,0.23193970101750813,0.0,1943035
0,nino3.4a,5.0,55.0,0.08752415558618815,0.23255929954804322,0.0,1943035
0,nino4a,9.0,55.0,0.080965801004093,0.23738654908038515,0.0,1943035
0,nino3.4a,8.0,64.0,0.05770515109882564,0.23850599138764284,0.0,1943003
0,nino12a,4.0,57.0,0.07314868000648657,0.23918410740466153,0.0,1943035
0,nino4a,9.0,69.0,0.043085830141826105,0.24428558759472704,1.0,1943025
0,nino4a,1.0,58.0,0.051214720799075235,0.25727812501665925,0.0,1943035
0,nino4a,1.0,63.0,0.04097828031144035,0.2582736521887652,1.0,1943003
0,nino3.4a,9.0,69.0,0.026990245893035343,0.2662898004732113,1.0,1943025
0,nino4a,1.0,68.0,0.028102028977209,0.26639390791192347,1.0,1943025
0,nino3.4a,7.0,65.0,0.031437532255227295,0.2671718649077742,1.0,1943003
0,nino4a,4.0,69.0,0.024211606290407486,0.2711687353807972,1.0,1943025
0,nino12a,5.0,55.0,0.04459959873349852,0.271933187762091,1.0,1943035
0,nino3.4a,9.0,55.0,0.04072405734766074,0.2768666549571674,1.0,1943035
0,nino3a,5.0,55.0,0.0386590519535115,0.2796551777678512,1.0,1943035
0,nino12a,9.0,63.0,0.016679562305229906,0.30058631980414924,1.0,1943003
0,nino4a,1.0,60.0,0.01879910137372152,0.3025364854445405,1.0,1843002
0,nino3.4a,4.0,69.0,0.010519975286800858,0.3061372843735112,1.0,1943025
0,nino4a,9.0,63.0,0.014002078824169236,0.30817531918111873,1.0,1943003
0,nino3a,9.0,69.0,0.008923060161308524,0.31258695951120513,1.0,1943025
0,nino3.4a,1.0,60.0,0.013527664810780446,0.3172116910543396,1.0,1843002
0,nino3.4a,9.0,63.0,0.011146971603711902,0.31779263381724404,1.0,1943003
0,nino12a,1.0,60.0,0.012931296639358712,0.3191694379187189,1.0,1843002
0,nino4a,7.0,65.0,0.008317744758811337,0.3246944415634546,1.0,1943003
0,nino3a,1.0,60.0,0.009563306598194576,0.3319648589364672,1.0,1843002
0,nino3a,9.0,63.0,0.007198427232667218,0.33544207248773206,1.0,1943003
0,nino4a,4.0,57.0,0.006536452688989978,0.35621035632724213,1.0,1943035
0,nino3a,9.0,55.0,0.0074964445462875435,0.35679854318996723,1.0,1943035
0,nino12a,9.0,69.0,0.0024794059108649256,0.35862082429284914,1.0,1943025
0,nino3a,4.0,57.0,0.004296890202373549,0.37274444745963387,1.0,1943035
0,nino3.4a,4.0,57.0,0.0012802992969531543,0.416232877484268,1.0,1943035
0,nino12a,9.0,55.0,0.0013450327802605325,0.4216561110770154,1.0,1943035
