,gauge,date,total_pr,num_days_pr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,month,year,new_num_days_pr,20302050_to_19802000_ratio,20402060_to_19802000_ratio,total_pr_scenario,num_days_pr_scenario
0,1843002,01/01/1980,300.2,19,6.511604538075395,6.618352153453681,0.0,3.6294189228616953,0.0,0.0,0.0,0.0,0.0,0.0,9.92752823018052,50.3848744585506,24.765446767762157,49.530893535524314,37.361665382399806,25.726175306166727,8.753304461019383,3.4159236921051255,23.484475383222737,0.0,0.0,0.0,1.4944666152959922,1.4944666152959922,17.506608922038765,3.202428461348555,12.169228153124509,21.45627069103532,0.0,13.02320907615079,0.0,1,1980,19,1.041496308044498,1.0674761537828517,320.4563413656121,19
1,1843002,01/02/1980,160.0,10,0.11170293309815396,4.691523190122466,4.579820257024312,6.031958387300314,0.0,0.0,0.0,0.0,0.0,11.505402109109859,0.0,0.0,0.0,18.09587516190094,0.0,0.11170293309815396,14.521381302760014,9.383046380244933,105.00075711226472,0.0,0.0,2.234058661963079,2.457464528159387,0.0,0.0,0.0,0.0,0.0,0.0,,,2,1980,10,1.105966266412859,1.1170293309815396,178.72469295704633,10
2,1843002,01/03/1980,1.8,0,1.0138149909285097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10138149909285098,0.3041444972785529,0.0,0.4055259963714039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1980,1,1.008389996268373,1.0138149909285097,1.8248669836713176,0
3,1843002,01/04/1980,166.2,13,4.00796040291119,3.2063683223289523,9.218308926695737,0.40079604029111904,0.0,11.422687148296893,7.3145277353129226,23.346369346957683,6.011940604366785,9.017910906550178,24.44855845775826,0.0,37.37423075714685,19.238209933973714,0.0,3.1061693122561724,0.0,7.214328725240143,0.40079604029111904,0.0,0.3005970302183393,0.10019901007277976,0.0,0.0,0.0,0.0,0.0,0.40079604029111904,0.0,0.0,,4,1980,13,0.9994876856325822,1.0019901007277976,166.53075474095996,13
4,1843002,01/05/1980,2.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9398077164099672,0.0,0.0,0.0,0.0,0.2771153880585667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1980,1,0.9195167346089351,0.9237179601952225,2.216923104468534,1
5,1843002,01/06/1980,10.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0939556195662868,0.0,0.0,0.0,0.0,9.39556195662868,0.0,0.0,0.0,,6,1980,1,0.9526807708403268,0.939556195662868,9.489517576194967,1
6,1843002,01/07/1980,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9630511702964129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1980,1,0.9705055190897932,0.9630511702964129,0.9630511702964129,0
7,1843002,01/08/1980,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1980,0,0.8436198517124124,0.8884899446647965,0.0,0
8,1843002,01/09/1980,44.6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.526906325798365,5.62506444889989,0.0,0.0,0.0,0.0,0.0,0.0,19.6073675075939,0.0,0.0,0.08035806355571272,0.0,,9,1980,3,0.8519984974172159,0.8035806355571271,35.83969634584787,3
9,1843002,01/10/1980,23.2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.544046576411712,11.689127112901664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1980,2,0.8582537033878644,0.8290161072979904,19.233173689313375,2
10,1843002,01/11/1980,165.3,10,1.8614338662665932,2.0475772528932525,0.09307169331332966,0.0,0.0,0.0,0.0,0.27921507993998895,7.445735465066373,0.37228677325331866,0.0,38.25246595177849,25.501643967852328,1.8614338662665932,0.0,0.0,0.0,9.679456104586285,0.0,24.38478364809237,0.0,0.0,0.0,1.1168603197599558,13.030037063866153,27.921507993998897,0.0,0.0,0.0,0.0,,11,1980,11,0.9587841836369236,0.9307169331332966,153.8475090469339,10
11,1843002,01/12/1980,198.5,16,2.383795751645926,33.96908946095445,7.052062431952531,2.979744689557408,10.92573052837716,7.9459858388197535,71.71252219534828,0.0,16.885219907491976,2.1851461056754324,20.9575376498871,0.09932482298524692,2.383795751645926,4.966241149262346,1.9864964597049384,0.0,0.0,1.3905475217934569,0.0,0.0,0.0,0.0,0.0,0.0,0.09932482298524692,0.0,0.0,0.0,0.0,4.270967388365618,4.966241149262346,12,1980,16,1.00300144886523,0.9932482298524692,197.15977362571513,16
