,gauge,date,total_pr,num_days_pr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,month,year,20302050_to_19802000_ratio,20402060_to_19802000_ratio,total_pr_scenario,num_days_pr_scenario
0,1843002,01/10/1941,,2,,,,,,,,,,,,,,,,,,5.921950553376265,0.0,0.0,4.119617776261749,0.08582537033878646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1941,0.8582537033878644,0.8290161072979904,10.1273936999768,2
1,1843002,01/11/1941,199.8,10,4.506285663093541,0.0,0.0,0.0,0.0,1.054662602000616,36.05028530474833,34.32447377420186,7.862030305822773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.396960459092309,41.03596305966033,0.0,0.0,0.0,0.0,0.28763525509107707,0.4793920918184618,0.0,0.0,1.342297857091693,31.448121223291093,0.09587841836369237,30.681093876381556,,11,1941,0.9587841836369236,0.9307169331332966,191.56507989065733,10
2,1843002,01/12/1941,300.8,18,0.802401159092184,2.4072034772765516,15.045021732978448,6.318909127850948,40.52125853415529,0.0,0.30090043465956895,0.0,0.0,0.401200579546092,4.112305940347443,0.0,0.0,0.0,0.0,34.30264955119087,21.263630715942874,29.08704201709167,2.7081039119361208,6.9207099971700865,4.613806664780057,0.401200579546092,14.443220863659311,43.32966259097793,4.01200579546092,22.467232454581147,3.4102049261417817,0.30090043465956895,31.293645204595173,0.6018008693191379,12.637818255701896,12,1941,1.00300144886523,0.9932482298524692,301.7028358186612,18
3,1843002,01/01/1942,260.6,15,4.582583755395792,21.03822542249886,13.122853481360675,13.539452004578475,0.4165985232177993,31.869787026161642,71.23834747024368,38.95196192086423,8.331970464355985,6.665576371484788,2.082992616088996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8331970464355986,9.998364557227182,7.707072679529286,7.8112223103337355,6.144828217462539,27.07890400915695,0.0,0.0,0.0,0.0,0.0,0.0,1,1942,1.041496308044498,1.0674761537828517,271.41393787639623,15
4,1843002,01/02/1942,174.0,11,0.0,0.0,0.0,0.0,0.0,3.7602853058037202,0.0,0.0,0.0,0.0,61.71291766583752,11.28085591741116,2.9861089193147192,26.543190393908613,14.81994796993231,22.782905088104894,18.137846769170885,12.829208690389162,11.28085591741116,0.22119325328257178,0.0,0.0,0.0,0.0,0.0,0.0,5.419234705423009,0.6635797598477153,,,,2,1942,1.105966266412859,1.1170293309815396,192.43813035583744,11
5,1843002,01/03/1942,89.3,9,16.33591793954764,12.907391952235173,3.6302039865661424,14.319137947010894,2.2184579917904204,0.5041949981341864,28.839953893275467,3.7310429861929797,3.3276869876856305,4.235237984327166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1942,1.008389996268373,1.0138149909285097,90.04922666676569,9
6,1843002,01/04/1942,17.2,5,0.0,0.0,0.0,0.0,5.497182270979202,0.0,0.0,1.9989753712651643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3987704455181973,5.59713103954246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6991290655753897,0.0,0.0,0.0,,4,1942,0.9994876856325822,1.0019901007277976,17.19118819288041,5
7,1843002,01/05/1942,5.5,1,0.0,0.0,0.0,0.0,0.0,0.0,5.057342040349143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1942,0.9195167346089351,0.9237179601952225,5.057342040349143,1
8,1843002,01/06/1942,1.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4290211562604902,0.0,,6,1942,0.9526807708403268,0.939556195662868,1.4290211562604902,1
9,1843002,01/07/1942,6.8,2,1.1646066229077519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4348309069028415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1942,0.9705055190897932,0.9630511702964129,6.599437529810594,2
10,1843002,01/08/1942,1.0,0,0.0,0.0,0.8436198517124124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1942,0.8436198517124124,0.8884899446647965,0.8436198517124124,0
11,1843002,01/09/1942,156.8,8,0.0,0.0,0.0,0.0,0.0,0.0,12.609577761774796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.73035462199992,4.941591285019852,0.0,8.008785875721829,0.0,0.0,42.5999248708608,0.9371983471589376,4.771191585536409,0.0,0.25559954922516476,0.0,33.73914049772175,,9,1942,0.8519984974172159,0.8035806355571271,133.59336439501948,7
