year,num_days_pr,num_days_pr_2030,num_days_pr_2040
1941,37.0,34.65965621534915,34.293026831678134
1942,114.0,106.78921104188657,105.65959618408938
1943,106.0,99.29523131964892,98.24488767994276
1944,87.0,81.49702947933449,80.63495498259452
1945,127.0,118.96692809052276,117.70849750332765
1946,80.0,74.93979722237654,74.14708504146623
1947,78.0,73.06630229181712,72.29340791542958
1948,71.0,66.50907003485918,65.80553797430129
1949,102.0,95.54824145853009,94.53753342786945
1950,80.0,74.93979722237654,74.14708504146623
1951,53.0,49.64761565982446,49.12244383997138
1952,66.0,61.82533270846065,61.17134515920964
1953,55.0,51.52111059038387,50.97612096600803
1954,30.0,28.102423958391203,27.80515689054984
1955,85.0,79.62353454877507,78.78127785655788
1956,61.0,57.141595382062114,56.537152344118
1965,56.0,52.45785805566358,51.90295952902636
1966,60.0,56.204847916782406,55.61031378109968
1967,90.0,84.30727187517361,83.41547067164952
1968,95.0,88.99100920157214,88.04966348674115
1969,97.0,90.86450413213156,89.90334061277781
1970,107.0,100.23197878492863,99.17172624296109
1971,103.0,96.4849889238098,95.46437199088777
1972,108.0,101.16872625020832,100.09856480597941
1973,115.0,107.72595850716628,106.5864347471077
1974,101.0,94.61149399325038,93.61069486485111
1975,104.0,97.4217363890895,96.3912105539061
1976,111.0,103.97896864604745,102.8790804950344
1977,102.0,95.54824145853009,94.53753342786945
1978,125.0,117.09343315996334,115.85482037729099
1979,118.0,110.5362009030054,109.3669504361627
1980,96.0,89.92775666685185,88.97650204975947
1981,123.0,115.21993822940394,114.00114325125433
1982,101.0,94.61149399325038,93.61069486485111
1983,152.0,142.3856147225154,140.87946157878585
1984,92.0,86.18076680573301,85.26914779768617
1985,130.0,121.77717048636188,120.48901319238263
1986,99.0,92.73799906269097,91.75701773881447
1987,112.0,104.91571611132716,103.80591905805272
1988,94.0,88.05426173629243,87.12282492372282
1989,57.0,53.39460552094329,52.82979809204469
1990,48.0,44.963878333425924,44.48825102487974
1991,114.0,106.78921104188657,105.65959618408938
1992,76.0,71.1928073612577,70.43973078939293
1993,75.0,70.25605989597801,69.51289222637459
1994,82.0,76.81329215293596,76.00076216750288
1995,95.0,88.99100920157214,88.04966348674115
1996,101.0,94.61149399325038,93.61069486485111
1997,116.0,108.66270597244599,107.51327331012604
1998,132.0,123.6506654169213,122.34269031841929
1999,85.0,79.62353454877507,78.78127785655788
2000,79.0,74.00304975709683,73.2202464784479
2001,95.0,88.99100920157214,88.04966348674115
2002,110.0,103.04222118076774,101.95224193201607
2003,25.0,23.41868663199267,23.170964075458198
2004,124.0,116.15668569468363,114.92798181427266
2005,131.0,122.71391795164159,121.41585175540095
2006,119.0,111.4729483682851,110.29378899918102
2007,80.0,74.93979722237654,74.14708504146623
2008,85.0,79.62353454877507,78.78127785655788
2009,90.0,84.30727187517361,83.41547067164952
2010,77.0,72.12955482653742,71.36656935241125
2011,88.0,82.4337769446142,81.56179354561286
2012,93.0,87.11751427101272,86.1959863607045
2013,45.0,42.153635937586806,41.70773533582476
