index,gauge,month,year,day,pr,wet_marker
4336,1943025,5,1980,20,0.0,0
4564,1943025,5,1980,21,0.0,0
4792,1943025,5,1980,22,0.0,0
5020,1943025,5,1980,23,0.0,0
5248,1943025,5,1980,24,0.0,0
5476,1943025,5,1980,25,0.0,0
5704,1943025,5,1980,26,0.0,0
5932,1943025,5,1980,27,0.0,0
6160,1943025,5,1980,28,0.0,0
6388,1943025,5,1980,29,0.0,0
6616,1943025,5,1980,30,0.0,0
6844,1943025,5,1980,31,0.0,0
5,1943025,6,1980,1,4.0,1
233,1943025,6,1980,2,5.5,1
461,1943025,6,1980,3,0.0,0
689,1943025,6,1980,4,2.0,1
917,1943025,6,1980,5,5.8,1
1145,1943025,6,1980,6,0.0,0
1373,1943025,6,1980,7,0.0,0
1601,1943025,6,1980,8,0.0,0
1829,1943025,6,1980,9,0.0,0
2057,1943025,6,1980,10,0.0,0
2285,1943025,6,1980,11,0.4,0
2513,1943025,6,1980,12,0.0,0
2741,1943025,6,1980,13,0.0,0
2969,1943025,6,1980,14,0.0,0
3197,1943025,6,1980,15,0.0,0
3425,1943025,6,1980,16,0.0,0
3653,1943025,6,1980,17,0.0,0
3881,1943025,6,1980,18,0.0,0
4109,1943025,6,1980,19,0.0,0
4337,1943025,6,1980,20,0.0,0
4565,1943025,6,1980,21,0.0,0
4793,1943025,6,1980,22,0.0,0
5021,1943025,6,1980,23,4.0,1
5249,1943025,6,1980,24,0.0,0
5477,1943025,6,1980,25,0.0,0
5705,1943025,6,1980,26,2.2,1
5933,1943025,6,1980,27,21.0,1
6161,1943025,6,1980,28,0.0,0
6389,1943025,6,1980,29,0.0,0
6617,1943025,6,1980,30,0.0,0
6,1943025,7,1980,1,0.0,0
234,1943025,7,1980,2,0.0,0
462,1943025,7,1980,3,3.4,1
690,1943025,7,1980,4,0.0,0
918,1943025,7,1980,5,0.0,0
1146,1943025,7,1980,6,0.0,0
1374,1943025,7,1980,7,0.0,0
1602,1943025,7,1980,8,0.0,0
1830,1943025,7,1980,9,0.0,0
2058,1943025,7,1980,10,0.0,0
2286,1943025,7,1980,11,0.0,0
2514,1943025,7,1980,12,0.0,0
2742,1943025,7,1980,13,0.0,0
2970,1943025,7,1980,14,0.0,0
3198,1943025,7,1980,15,0.0,0
3426,1943025,7,1980,16,0.0,0
3654,1943025,7,1980,17,0.0,0
3882,1943025,7,1980,18,0.0,0
4110,1943025,7,1980,19,0.0,0
4338,1943025,7,1980,20,0.0,0
4566,1943025,7,1980,21,0.0,0
4794,1943025,7,1980,22,0.0,0
5022,1943025,7,1980,23,0.0,0
5250,1943025,7,1980,24,15.0,1
5478,1943025,7,1980,25,0.0,0
5706,1943025,7,1980,26,0.0,0
5934,1943025,7,1980,27,0.0,0
6162,1943025,7,1980,28,0.0,0
6390,1943025,7,1980,29,0.0,0
6618,1943025,7,1980,30,0.0,0
6846,1943025,7,1980,31,0.0,0
7,1943025,8,1980,1,0.0,0
235,1943025,8,1980,2,0.0,0
463,1943025,8,1980,3,0.0,0
691,1943025,8,1980,4,0.0,0
919,1943025,8,1980,5,0.0,0
1147,1943025,8,1980,6,0.0,0
1375,1943025,8,1980,7,0.0,0
1603,1943025,8,1980,8,0.0,0
1831,1943025,8,1980,9,0.0,0
2059,1943025,8,1980,10,0.0,0
2287,1943025,8,1980,11,0.0,0
2515,1943025,8,1980,12,0.0,0
2743,1943025,8,1980,13,0.0,0
2971,1943025,8,1980,14,0.0,0
3199,1943025,8,1980,15,0.0,0
3427,1943025,8,1980,16,0.0,0
3655,1943025,8,1980,17,0.0,0
3883,1943025,8,1980,18,0.0,0
4111,1943025,8,1980,19,0.0,0
4339,1943025,8,1980,20,0.0,0
4567,1943025,8,1980,21,0.0,0
4795,1943025,8,1980,22,0.0,0
5023,1943025,8,1980,23,0.0,0
5251,1943025,8,1980,24,0.0,0
5479,1943025,8,1980,25,0.0,0
5707,1943025,8,1980,26,0.0,0
5935,1943025,8,1980,27,0.0,0
6163,1943025,8,1980,28,1.2,1
6391,1943025,8,1980,29,0.0,0
6619,1943025,8,1980,30,0.0,0
6847,1943025,8,1980,31,0.0,0
8,1943025,9,1980,1,0.0,0
236,1943025,9,1980,2,0.0,0
464,1943025,9,1980,3,0.0,0
692,1943025,9,1980,4,0.0,0
920,1943025,9,1980,5,0.3,0
1148,1943025,9,1980,6,0.0,0
1376,1943025,9,1980,7,0.0,0
1604,1943025,9,1980,8,0.0,0
1832,1943025,9,1980,9,0.0,0
2060,1943025,9,1980,10,0.0,0
2288,1943025,9,1980,11,0.0,0
2516,1943025,9,1980,12,0.0,0
2744,1943025,9,1980,13,0.0,0
2972,1943025,9,1980,14,0.0,0
3200,1943025,9,1980,15,0.0,0
3428,1943025,9,1980,16,0.0,0
3656,1943025,9,1980,17,0.0,0
3884,1943025,9,1980,18,0.0,0
4112,1943025,9,1980,19,17.4,1
4340,1943025,9,1980,20,0.0,0
4568,1943025,9,1980,21,0.0,0
4796,1943025,9,1980,22,0.0,0
5024,1943025,9,1980,23,0.0,0
5252,1943025,9,1980,24,0.0,0
5480,1943025,9,1980,25,0.0,0
5708,1943025,9,1980,26,16.0,1
5936,1943025,9,1980,27,0.0,0
6164,1943025,9,1980,28,0.0,0
6392,1943025,9,1980,29,0.0,0
6620,1943025,9,1980,30,0.0,0
9,1943025,10,1980,1,0.8,0
237,1943025,10,1980,2,0.0,0
465,1943025,10,1980,3,0.0,0
693,1943025,10,1980,4,0.0,0
921,1943025,10,1980,5,0.0,0
1149,1943025,10,1980,6,0.0,0
1377,1943025,10,1980,7,0.0,0
1605,1943025,10,1980,8,0.0,0
1833,1943025,10,1980,9,0.0,0
2061,1943025,10,1980,10,0.0,0
2289,1943025,10,1980,11,0.0,0
2517,1943025,10,1980,12,9.0,1
2745,1943025,10,1980,13,14.0,1
2973,1943025,10,1980,14,0.0,0
3201,1943025,10,1980,15,0.2,0
3429,1943025,10,1980,16,0.0,0
3657,1943025,10,1980,17,0.0,0
3885,1943025,10,1980,18,0.0,0
4113,1943025,10,1980,19,0.0,0
4341,1943025,10,1980,20,0.0,0
4569,1943025,10,1980,21,0.0,0
4797,1943025,10,1980,22,0.0,0
5025,1943025,10,1980,23,0.0,0
5253,1943025,10,1980,24,0.0,0
5481,1943025,10,1980,25,0.0,0
5709,1943025,10,1980,26,0.0,0
5937,1943025,10,1980,27,0.0,0
6165,1943025,10,1980,28,0.0,0
6393,1943025,10,1980,29,0.0,0
6621,1943025,10,1980,30,0.0,0
6849,1943025,10,1980,31,0.0,0
10,1943025,11,1980,1,30.4,1
238,1943025,11,1980,2,5.5,1
466,1943025,11,1980,3,0.0,0
694,1943025,11,1980,4,0.0,0
922,1943025,11,1980,5,0.0,0
1150,1943025,11,1980,6,0.0,0
1378,1943025,11,1980,7,0.0,0
1606,1943025,11,1980,8,0.0,0
1834,1943025,11,1980,9,60.0,1
2062,1943025,11,1980,10,39.0,1
2290,1943025,11,1980,11,0.0,0
2518,1943025,11,1980,12,9.0,1
2746,1943025,11,1980,13,23.0,1
2974,1943025,11,1980,14,0.7,0
3202,1943025,11,1980,15,0.0,0
3430,1943025,11,1980,16,0.0,0
3658,1943025,11,1980,17,0.0,0
3886,1943025,11,1980,18,36.3,1
4114,1943025,11,1980,19,0.0,0
4342,1943025,11,1980,20,5.0,1
4570,1943025,11,1980,21,4.4,1
4798,1943025,11,1980,22,0.0,0
5026,1943025,11,1980,23,0.0,0
5254,1943025,11,1980,24,0.0,0
5482,1943025,11,1980,25,53.0,1
5710,1943025,11,1980,26,17.0,1
5938,1943025,11,1980,27,0.0,0
6166,1943025,11,1980,28,0.0,0
6394,1943025,11,1980,29,0.0,0
6622,1943025,11,1980,30,0.0,0
11,1943025,12,1980,1,9.0,1
239,1943025,12,1980,2,120.0,1
467,1943025,12,1980,3,62.0,1
695,1943025,12,1980,4,4.6,1
923,1943025,12,1980,5,1.0,1
1151,1943025,12,1980,6,3.6,1
1379,1943025,12,1980,7,44.0,1
1607,1943025,12,1980,8,6.0,1
1835,1943025,12,1980,9,64.0,1
2063,1943025,12,1980,10,27.8,1
2291,1943025,12,1980,11,14.7,1
2519,1943025,12,1980,12,0.0,0
2747,1943025,12,1980,13,22.2,1
2975,1943025,12,1980,14,21.2,1
3203,1943025,12,1980,15,1.6,1
3431,1943025,12,1980,16,0.0,0
3659,1943025,12,1980,17,1.0,1
3887,1943025,12,1980,18,1.4,1
4115,1943025,12,1980,19,0.7,0
4343,1943025,12,1980,20,0.0,0
4571,1943025,12,1980,21,0.0,0
4799,1943025,12,1980,22,0.0,0
5027,1943025,12,1980,23,0.0,0
5255,1943025,12,1980,24,0.0,0
5483,1943025,12,1980,25,0.0,0
5711,1943025,12,1980,26,0.0,0
5939,1943025,12,1980,27,0.0,0
6167,1943025,12,1980,28,0.0,0
6395,1943025,12,1980,29,0.0,0
6623,1943025,12,1980,30,11.4,1
6851,1943025,12,1980,31,2.6,1
12,1943025,1,1981,1,16.0,1
240,1943025,1,1981,2,13.5,1
468,1943025,1,1981,3,1.5,1
696,1943025,1,1981,4,0.0,0
924,1943025,1,1981,5,3.2,1
1152,1943025,1,1981,6,0.0,0
1380,1943025,1,1981,7,0.0,0
1608,1943025,1,1981,8,0.0,0
1836,1943025,1,1981,9,0.0,0
2064,1943025,1,1981,10,10.4,1
2292,1943025,1,1981,11,23.6,1
2520,1943025,1,1981,12,15.7,1
2748,1943025,1,1981,13,41.6,1
2976,1943025,1,1981,14,51.0,1
3204,1943025,1,1981,15,1.0,1
3432,1943025,1,1981,16,3.0,1
3660,1943025,1,1981,17,0.2,0
3888,1943025,1,1981,18,0.0,0
4116,1943025,1,1981,19,0.0,0
4344,1943025,1,1981,20,0.0,0
4572,1943025,1,1981,21,0.0,0
4800,1943025,1,1981,22,8.0,1
5028,1943025,1,1981,23,2.4,1
5256,1943025,1,1981,24,15.4,1
5484,1943025,1,1981,25,16.0,1
5712,1943025,1,1981,26,16.0,1
5940,1943025,1,1981,27,7.0,1
6168,1943025,1,1981,28,10.0,1
6396,1943025,1,1981,29,2.2,1
6624,1943025,1,1981,30,0.0,0
6852,1943025,1,1981,31,0.0,0
13,1943025,2,1981,1,0.0,0
241,1943025,2,1981,2,0.0,0
469,1943025,2,1981,3,0.0,0
697,1943025,2,1981,4,0.0,0
925,1943025,2,1981,5,0.0,0
1153,1943025,2,1981,6,0.0,0
1381,1943025,2,1981,7,0.0,0
1609,1943025,2,1981,8,0.0,0
1837,1943025,2,1981,9,0.0,0
2065,1943025,2,1981,10,2.0,1
2293,1943025,2,1981,11,4.7,1
2521,1943025,2,1981,12,0.0,0
2749,1943025,2,1981,13,0.2,0
2977,1943025,2,1981,14,0.0,0
3205,1943025,2,1981,15,0.0,0
3433,1943025,2,1981,16,0.0,0
3661,1943025,2,1981,17,0.0,0
3889,1943025,2,1981,18,0.0,0
4117,1943025,2,1981,19,0.0,0
4345,1943025,2,1981,20,0.0,0
4573,1943025,2,1981,21,0.0,0
4801,1943025,2,1981,22,0.0,0
5029,1943025,2,1981,23,0.0,0
5257,1943025,2,1981,24,4.7,1
5485,1943025,2,1981,25,0.0,0
5713,1943025,2,1981,26,0.1,0
5941,1943025,2,1981,27,0.0,0
6169,1943025,2,1981,28,0.0,0
6397,1943025,2,1981,29,,0
14,1943025,3,1981,1,0.0,0
242,1943025,3,1981,2,0.0,0
470,1943025,3,1981,3,0.0,0
698,1943025,3,1981,4,0.0,0
926,1943025,3,1981,5,0.0,0
1154,1943025,3,1981,6,14.0,1
1382,1943025,3,1981,7,1.8,1
1610,1943025,3,1981,8,31.0,1
1838,1943025,3,1981,9,21.8,1
2066,1943025,3,1981,10,2.8,1
2294,1943025,3,1981,11,0.0,0
2522,1943025,3,1981,12,0.0,0
2750,1943025,3,1981,13,1.0,1
2978,1943025,3,1981,14,0.0,0
3206,1943025,3,1981,15,0.0,0
3434,1943025,3,1981,16,0.0,0
3662,1943025,3,1981,17,0.0,0
3890,1943025,3,1981,18,0.0,0
4118,1943025,3,1981,19,16.0,1
4346,1943025,3,1981,20,0.1,0
4574,1943025,3,1981,21,11.0,1
4802,1943025,3,1981,22,38.0,1
5030,1943025,3,1981,23,2.0,1
5258,1943025,3,1981,24,0.8,0
5486,1943025,3,1981,25,0.5,0
5714,1943025,3,1981,26,10.2,1
5942,1943025,3,1981,27,18.0,1
6170,1943025,3,1981,28,29.4,1
6398,1943025,3,1981,29,27.0,1
6626,1943025,3,1981,30,7.8,1
6854,1943025,3,1981,31,9.8,1
15,1943025,4,1981,1,0.0,0
243,1943025,4,1981,2,17.8,1
471,1943025,4,1981,3,0.0,0
699,1943025,4,1981,4,0.0,0
927,1943025,4,1981,5,0.0,0
1155,1943025,4,1981,6,0.0,0
1383,1943025,4,1981,7,0.0,0
1611,1943025,4,1981,8,0.0,0
1839,1943025,4,1981,9,0.0,0
2067,1943025,4,1981,10,2.6,1
2295,1943025,4,1981,11,0.0,0
2523,1943025,4,1981,12,0.0,0
2751,1943025,4,1981,13,0.0,0
2979,1943025,4,1981,14,0.0,0
3207,1943025,4,1981,15,0.0,0
3435,1943025,4,1981,16,0.0,0
3663,1943025,4,1981,17,0.0,0
3891,1943025,4,1981,18,0.0,0
4119,1943025,4,1981,19,0.0,0
4347,1943025,4,1981,20,0.0,0
4575,1943025,4,1981,21,0.0,0
4803,1943025,4,1981,22,0.0,0
5031,1943025,4,1981,23,0.0,0
5259,1943025,4,1981,24,0.0,0
5487,1943025,4,1981,25,0.0,0
5715,1943025,4,1981,26,0.0,0
5943,1943025,4,1981,27,0.0,0
6171,1943025,4,1981,28,61.0,1
6399,1943025,4,1981,29,0.0,0
6627,1943025,4,1981,30,27.0,1
16,1943025,5,1981,1,0.0,0
244,1943025,5,1981,2,0.0,0
472,1943025,5,1981,3,0.0,0
700,1943025,5,1981,4,0.0,0
928,1943025,5,1981,5,0.0,0
1156,1943025,5,1981,6,0.0,0
1384,1943025,5,1981,7,2.5,1
1612,1943025,5,1981,8,0.0,0
1840,1943025,5,1981,9,0.0,0
2068,1943025,5,1981,10,0.2,0
2296,1943025,5,1981,11,0.0,0
2524,1943025,5,1981,12,0.0,0
2752,1943025,5,1981,13,0.0,0
2980,1943025,5,1981,14,0.0,0
3208,1943025,5,1981,15,0.0,0
3436,1943025,5,1981,16,0.0,0
3664,1943025,5,1981,17,0.0,0
3892,1943025,5,1981,18,1.0,1
4120,1943025,5,1981,19,1.2,1
4348,1943025,5,1981,20,0.2,0
4576,1943025,5,1981,21,0.0,0
4804,1943025,5,1981,22,0.0,0
5032,1943025,5,1981,23,0.2,0
5260,1943025,5,1981,24,0.0,0
5488,1943025,5,1981,25,4.0,1
5716,1943025,5,1981,26,0.8,0
5944,1943025,5,1981,27,0.0,0
6172,1943025,5,1981,28,0.0,0
6400,1943025,5,1981,29,4.9,1
6628,1943025,5,1981,30,0.0,0
6856,1943025,5,1981,31,0.0,0
17,1943025,6,1981,1,0.0,0
245,1943025,6,1981,2,0.0,0
473,1943025,6,1981,3,2.8,1
701,1943025,6,1981,4,7.0,1
929,1943025,6,1981,5,0.7,0
1157,1943025,6,1981,6,0.0,0
1385,1943025,6,1981,7,16.7,1
1613,1943025,6,1981,8,1.2,1
1841,1943025,6,1981,9,0.0,0
2069,1943025,6,1981,10,0.0,0
2297,1943025,6,1981,11,0.0,0
2525,1943025,6,1981,12,0.0,0
2753,1943025,6,1981,13,0.0,0
2981,1943025,6,1981,14,0.0,0
3209,1943025,6,1981,15,0.0,0
3437,1943025,6,1981,16,0.0,0
3665,1943025,6,1981,17,4.4,1
3893,1943025,6,1981,18,0.0,0
4121,1943025,6,1981,19,0.0,0
4349,1943025,6,1981,20,2.5,1
4577,1943025,6,1981,21,0.0,0
4805,1943025,6,1981,22,0.0,0
5033,1943025,6,1981,23,0.3,0
5261,1943025,6,1981,24,0.0,0
5489,1943025,6,1981,25,0.0,0
5717,1943025,6,1981,26,0.0,0
5945,1943025,6,1981,27,0.0,0
6173,1943025,6,1981,28,0.7,0
6401,1943025,6,1981,29,0.0,0
6629,1943025,6,1981,30,0.0,0
18,1943025,7,1981,1,0.0,0
246,1943025,7,1981,2,0.0,0
474,1943025,7,1981,3,0.0,0
702,1943025,7,1981,4,0.0,0
930,1943025,7,1981,5,0.0,0
1158,1943025,7,1981,6,0.0,0
1386,1943025,7,1981,7,0.0,0
1614,1943025,7,1981,8,0.0,0
1842,1943025,7,1981,9,0.0,0
2070,1943025,7,1981,10,0.0,0
2298,1943025,7,1981,11,0.0,0
2526,1943025,7,1981,12,0.0,0
2754,1943025,7,1981,13,0.0,0
2982,1943025,7,1981,14,0.0,0
3210,1943025,7,1981,15,0.0,0
3438,1943025,7,1981,16,0.0,0
3666,1943025,7,1981,17,0.0,0
3894,1943025,7,1981,18,0.0,0
4122,1943025,7,1981,19,0.0,0
4350,1943025,7,1981,20,0.0,0
4578,1943025,7,1981,21,0.0,0
4806,1943025,7,1981,22,0.0,0
5034,1943025,7,1981,23,0.0,0
5262,1943025,7,1981,24,0.0,0
5490,1943025,7,1981,25,0.0,0
5718,1943025,7,1981,26,0.0,0
5946,1943025,7,1981,27,0.0,0
6174,1943025,7,1981,28,0.0,0
6402,1943025,7,1981,29,0.0,0
6630,1943025,7,1981,30,0.0,0
6858,1943025,7,1981,31,0.0,0
19,1943025,8,1981,1,0.0,0
247,1943025,8,1981,2,0.2,0
475,1943025,8,1981,3,5.8,1
703,1943025,8,1981,4,0.0,0
931,1943025,8,1981,5,0.7,0
1159,1943025,8,1981,6,0.0,0
1387,1943025,8,1981,7,0.0,0
1615,1943025,8,1981,8,0.0,0
1843,1943025,8,1981,9,0.0,0
2071,1943025,8,1981,10,0.0,0
2299,1943025,8,1981,11,0.0,0
2527,1943025,8,1981,12,0.0,0
2755,1943025,8,1981,13,0.0,0
2983,1943025,8,1981,14,0.0,0
3211,1943025,8,1981,15,3.0,1
3439,1943025,8,1981,16,0.0,0
3667,1943025,8,1981,17,0.0,0
3895,1943025,8,1981,18,2.7,1
4123,1943025,8,1981,19,23.0,1
4351,1943025,8,1981,20,0.0,0
4579,1943025,8,1981,21,0.0,0
4807,1943025,8,1981,22,0.0,0
5035,1943025,8,1981,23,0.0,0
5263,1943025,8,1981,24,0.0,0
5491,1943025,8,1981,25,0.0,0
5719,1943025,8,1981,26,0.0,0
5947,1943025,8,1981,27,0.0,0
6175,1943025,8,1981,28,0.0,0
6403,1943025,8,1981,29,0.0,0
6631,1943025,8,1981,30,0.0,0
6859,1943025,8,1981,31,0.0,0
20,1943025,9,1981,1,0.0,0
248,1943025,9,1981,2,0.0,0
476,1943025,9,1981,3,0.0,0
704,1943025,9,1981,4,0.0,0
932,1943025,9,1981,5,0.0,0
1160,1943025,9,1981,6,0.0,0
1388,1943025,9,1981,7,0.0,0
1616,1943025,9,1981,8,0.0,0
1844,1943025,9,1981,9,0.0,0
2072,1943025,9,1981,10,0.0,0
2300,1943025,9,1981,11,0.0,0
2528,1943025,9,1981,12,0.0,0
2756,1943025,9,1981,13,0.0,0
2984,1943025,9,1981,14,0.0,0
3212,1943025,9,1981,15,0.0,0
3440,1943025,9,1981,16,0.0,0
3668,1943025,9,1981,17,0.0,0
3896,1943025,9,1981,18,0.0,0
4124,1943025,9,1981,19,0.0,0
4352,1943025,9,1981,20,0.0,0
4580,1943025,9,1981,21,0.0,0
4808,1943025,9,1981,22,0.0,0
5036,1943025,9,1981,23,0.0,0
5264,1943025,9,1981,24,0.0,0
5492,1943025,9,1981,25,0.0,0
5720,1943025,9,1981,26,0.0,0
5948,1943025,9,1981,27,0.0,0
6176,1943025,9,1981,28,0.0,0
6404,1943025,9,1981,29,0.0,0
6632,1943025,9,1981,30,0.0,0
21,1943025,10,1981,1,5.4,1
249,1943025,10,1981,2,3.0,1
477,1943025,10,1981,3,4.6,1
705,1943025,10,1981,4,0.0,0
933,1943025,10,1981,5,0.0,0
1161,1943025,10,1981,6,0.0,0
1389,1943025,10,1981,7,0.0,0
1617,1943025,10,1981,8,0.0,0
1845,1943025,10,1981,9,4.8,1
2073,1943025,10,1981,10,2.6,1
2301,1943025,10,1981,11,6.2,1
2529,1943025,10,1981,12,33.0,1
2757,1943025,10,1981,13,37.0,1
2985,1943025,10,1981,14,0.0,0
3213,1943025,10,1981,15,0.0,0
3441,1943025,10,1981,16,10.0,1
3669,1943025,10,1981,17,6.3,1
3897,1943025,10,1981,18,1.5,1
4125,1943025,10,1981,19,5.0,1
4353,1943025,10,1981,20,26.0,1
4581,1943025,10,1981,21,13.4,1
4809,1943025,10,1981,22,0.0,0
5037,1943025,10,1981,23,0.0,0
5265,1943025,10,1981,24,0.0,0
5493,1943025,10,1981,25,0.0,0
5721,1943025,10,1981,26,0.7,0
5949,1943025,10,1981,27,0.0,0
6177,1943025,10,1981,28,46.0,1
6405,1943025,10,1981,29,20.0,1
6633,1943025,10,1981,30,25.2,1
6861,1943025,10,1981,31,5.0,1
22,1943025,11,1981,1,5.0,1
250,1943025,11,1981,2,11.0,1
478,1943025,11,1981,3,8.8,1
706,1943025,11,1981,4,0.9,0
934,1943025,11,1981,5,11.8,1
1162,1943025,11,1981,6,0.0,0
1390,1943025,11,1981,7,8.7,1
1618,1943025,11,1981,8,0.0,0
1846,1943025,11,1981,9,32.0,1
2074,1943025,11,1981,10,5.8,1
2302,1943025,11,1981,11,42.0,1
2530,1943025,11,1981,12,25.0,1
2758,1943025,11,1981,13,23.0,1
2986,1943025,11,1981,14,80.6,1
3214,1943025,11,1981,15,23.0,1
3442,1943025,11,1981,16,0.0,0
3670,1943025,11,1981,17,13.0,1
3898,1943025,11,1981,18,68.4,1
4126,1943025,11,1981,19,0.0,0
4354,1943025,11,1981,20,0.0,0
4582,1943025,11,1981,21,38.0,1
4810,1943025,11,1981,22,0.1,0
5038,1943025,11,1981,23,9.0,1
5266,1943025,11,1981,24,0.0,0
5494,1943025,11,1981,25,1.0,1
5722,1943025,11,1981,26,44.8,1
5950,1943025,11,1981,27,28.0,1
6178,1943025,11,1981,28,5.4,1
