gauge,month,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1943025,12,1981,0.97,33.18,2.68,7.35,0.0,0.0,0.0,21.55,3.38,7.35,3.18,0.0,0.57,5.86,0.0,0.07,5.17,29.6,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.06,88.8,27.22,0.0,0.47
1943025,1,1982,8.88,6.1,5.57,4.07,43.78,15.39,0.0,0.0,0.0,0.0,0.0,26.17,18.81,7.7,0.91,35.14,3.01,0.0,0.0,7.49,93.1,3.97,50.19,61.08,125.13,0.0,0.0,0.0,0.0,0.0,0.38
1943025,2,1982,0.0,4.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46,0.0,2.68,0.0,0.0,0.0,0.0,0.0,0.0,2.46,0.0,0.0,0.0,0.0,55.4,2.46,16.98,0.0,,,
1943025,3,1982,0.0,0.0,20.6,34.59,0.0,2.55,0.0,41.18,70.07,3.47,2.66,3.67,61.76,8.03,17.36,0.0,3.16,9.25,34.59,18.37,3.37,0.0,50.81,9.85,15.94,0.0,0.0,0.0,12.69,0.0,0.0
1943025,4,1982,0.0,0.0,0.0,0.0,0.0,0.0,28.33,0.0,0.0,0.0,0.38,0.0,0.0,0.68,28.33,7.69,11.5,5.28,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,
1943025,5,1982,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.41,0.0,4.72,25.04,0.0,0.0,6.56,0.0,0.0,0.0,0.0,0.0
1943025,6,1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1943025,7,1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.14,0.0,0.0,0.0,0.0
1943025,8,1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0
1943025,9,1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1943025,10,1982,0.0,0.0,0.52,4.69,0.0,0.0,0.0,0.0,0.0,0.0,0.6,10.24,0.0,0.0,0.44,0.0,0.02,0.0,0.0,4.77,0.0,0.0,0.0,0.0,0.0,38.51,0.0,0.0,0.0,0.0,5.19
1943025,11,1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,4.82,91.93,3.33,0.0,0.0,5.19,58.24,3.98,0.0,8.17,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,
1943025,12,1982,0.0,0.0,40.9,30.08,20.14,0.0,0.0,23.82,22.13,10.31,0.0,0.0,0.0,0.0,0.0,0.0,5.24,0.0,0.0,16.17,0.0,22.33,0.0,9.12,10.41,0.0,0.0,21.04,62.95,18.36,17.36
1943025,1,1983,51.26,6.22,7.5,5.68,65.36,52.65,21.38,3.01,3.23,0.0,0.0,4.3,13.9,18.17,29.49,0.0,0.0,24.58,7.92,12.84,5.36,13.48,35.25,5.58,5.58,41.66,43.04,0.0,18.17,0.0,5.36
1943025,2,1983,0.0,2.77,13.83,0.0,0.0,5.23,0.0,0.0,21.42,46.0,37.06,12.6,0.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.0,0.0,0.0,0.0,11.71,0.0,,,
1943025,3,1983,29.27,73.78,7.48,3.22,0.0,53.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.51,8.29,10.32,0.4,48.84,0.0,34.34,13.36,3.42,33.84,0.0,0.0,2.61,0.0,0.0,3.02,0.0,31.61
1943025,4,1983,0.0,0.58,16.89,0.0,0.0,0.0,12.88,32.92,0.0,0.0,0.0,0.0,24.91,0.0,4.47,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.88,4.06,42.14,0.0,0.0,0.0,
1943025,5,1983,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.41,7.08,0.0,3.94,11.33,0.0
1943025,6,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1943025,7,1983,0.0,0.0,0.0,0.0,8.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1943025,8,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1943025,9,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.47,0.79,12.29,4.26,0.0,0.0,0.0,0.79,0.0,0.0,0.47,0.0,0.0,0.0,6.19,0.0,0.0,5.22,9.88,29.97,
1943025,10,1983,7.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.27,10.14,22.57,40.56,17.6,0.0,0.0,5.99,0.0,0.0,33.35,0.27,0.02,14.28,22.16,4.33,0.0,0.0,15.94,5.16,0.0
1943025,11,1983,0.0,0.0,28.74,0.0,4.17,0.0,0.0,4.64,5.29,0.0,36.74,6.03,0.64,9.38,8.54,15.34,5.57,19.99,0.0,0.0,6.96,6.59,0.0,0.0,0.64,0.0,0.0,32.84,0.0,0.0,
1943025,12,1983,0.0,45.69,22.25,21.56,3.28,6.36,24.04,52.15,13.31,22.05,0.37,18.08,7.15,0.0,0.0,5.96,0.0,0.0,0.0,0.0,10.53,29.4,14.11,7.95,0.17,15.1,13.11,0.0,0.0,0.0,0.0
1943025,1,1984,0.0,0.0,0.0,0.0,0.0,0.0,35.71,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,9.02,46.17,32.29,0.0,6.67,5.07,0.0,0.0,0.0,0.0
1943025,2,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1943025,3,1984,0.0,0.0,0.0,0.0,0.0,0.0,31.82,22.7,0.0,0.0,0.0,0.0,10.13,26.75,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.4,47.44,4.96,0.0,0.0,4.25,7.7,7.29,0.0,0.0
1943025,4,1984,0.0,0.0,0.0,0.0,0.0,34.47,12.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1943025,5,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1943025,6,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1943025,7,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1943025,8,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.22,6.6,0.56,19.48,0.0,4.2
1943025,9,1984,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,5.86,10.68,0.0,11.48,0.0,0.0,0.0,0.0,0.0,14.69,0.0,0.0,0.0,
1943025,10,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.17,0.0,0.0,0.0,0.0,0.0,0.0,0.44,40.97,4.5,8.64,4.0,0.0,44.12,3.0,0.0,0.0,0.0,0.0,0.0
1943025,11,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.32,0.0,0.0,0.0,0.0,0.0,4.76,0.0,59.86,23.0,21.14,0.0,0.0,0.0,4.01,9.04,2.9,0.64,
1943025,12,1984,0.77,21.2,9.67,51.99,0.0,10.27,30.13,17.62,29.14,0.0,0.0,21.2,24.18,8.28,0.37,9.28,8.18,0.0,8.08,0.77,2.82,0.27,0.0,0.0,0.0,0.0,0.0,4.31,29.14,45.03,13.25
1943025,1,1985,2.8,6.75,35.15,12.41,0.0,35.36,0.0,11.88,19.35,47.53,19.35,0.7,0.49,77.74,12.3,34.29,14.22,14.44,7.61,22.98,31.09,14.44,4.83,30.45,64.72,63.11,55.64,4.94,8.67,21.48,25.11
1943025,2,1985,25.83,2.37,0.0,0.0,0.0,0.0,14.66,2.93,0.0,97.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.22,15.77,2.59,0.0,37.44,16.67,,,
1943025,3,1985,7.3,0.0,0.0,0.0,0.0,0.0,0.0,4.26,10.75,17.44,2.84,0.0,33.66,40.15,0.0,7.7,15.41,27.58,42.17,89.42,29.6,0.0,0.0,0.0,0.0,0.0,0.0,18.45,0.0,0.0,0.0
1943025,4,1985,0.0,9.95,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.58,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,4.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1943025,5,1985,0.0,74.44,0.0,16.7,0.0,0.07,0.0,0.0,0.0,0.0,10.7,23.63,3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1943025,6,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1943025,7,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6
1943025,8,1985,9.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1943025,9,1985,0.0,0.0,0.0,0.0,0.0,17.41,5.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,14.84,0.79,0.79,7.93,0.0,0.0,0.79,
1943025,10,1985,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,13.39,0.0,0.0,0.0,0.0,0.0,0.0,11.57,0.0,7.09,0.0,0.0,0.0,7.92,0.0,0.0,0.44,12.07,20.69,0.0,0.0,10.08,10.24
1943025,11,1985,0.0,2.99,8.57,24.39,10.43,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.48,20.21,2.99,0.0,9.87,11.36,19.74,16.95,10.43,
1943025,12,1985,49.87,0.0,0.0,12.12,22.45,0.0,22.65,0.0,2.89,0.0,0.0,0.0,0.0,58.51,84.63,13.22,0.0,12.42,0.0,0.0,0.0,21.76,3.28,16.69,36.95,32.98,0.0,29.01,11.13,0.0,25.04
1943025,1,1986,68.96,27.75,18.57,14.3,2.35,61.91,28.82,70.67,22.31,11.32,6.51,0.0,12.81,24.87,7.9,5.87,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.45,3.84,0.0
1943025,2,1986,0.0,0.0,0.0,0.0,72.13,35.05,0.57,0.0,0.0,0.0,0.0,0.0,0.0,2.88,0.79,9.13,0.0,7.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1943025,3,1986,0.0,0.0,0.0,0.0,5.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,36.3,0.0,0.0,0.0
1943025,4,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,9.02,8.42,3.01,0.0,0.0,0.0,0.0,
1943025,5,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.79,0.0,17.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1943025,6,1986,8.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1943025,7,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,31.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1943025,8,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.61,0.0,11.83,0.0,0.0,0.0,16.19,11.39,0.0,0.02,0.0,0.0
1943025,9,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,6.76,
1943025,10,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1943025,11,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.34,48.61,10.45,5.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.12,10.82,24.59,7.47,
1943025,12,1986,5.35,0.0,0.37,0.0,0.0,0.0,0.0,0.0,5.55,0.37,10.52,31.97,10.12,17.67,27.5,24.23,0.0,0.0,0.0,0.0,0.0,0.0,21.05,22.34,11.02,20.05,6.65,3.17,0.0,3.37,18.07
1943025,1,1987,47.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.01,0.0,14.31,25.41,2.99,0.91,39.61,37.79,2.46,5.66,0.0,20.07,7.37,2.78
1943025,2,1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,17.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1943025,3,1987,0.0,0.0,0.0,0.0,29.77,0.0,27.23,0.0,0.0,13.14,6.86,40.92,14.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22,20.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1943025,4,1987,0.0,0.0,0.0,130.9,6.35,87.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.46,0.0,0.0,0.0,0.0,5.15,
1943025,5,1987,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.23,19.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,3.89,3.52,0.0,0.0,0.0,0.81,0.0,0.0
1943025,6,1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.85,8.73,0.0,0.0,0.0,0.0,0.0,
1943025,7,1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
