,Unnamed: 0,Unnamed: 0.1,1980_2000,2030_2050,2040_2060,20302050_to_19802000_diff,20402060_to_19802000_diff
0,0,Jan,23.439914285714288,24.99902857142857,25.38327142857143,1.5591142857142835,1.943357142857142
1,1,Feb,23.53053809523809,24.98103809523809,25.336119047619054,1.4505000000000017,1.8055809523809643
2,2,Mar,22.89530476190476,24.28504761904761,24.73047142857143,1.3897428571428492,1.8351666666666695
3,3,Apr,21.41577619047619,22.928095238095242,23.399580952380948,1.5123190476190516,1.9838047619047572
4,4,May,19.31029523809524,20.889209523809523,21.41995238095237,1.5789142857142835,2.109657142857131
5,5,Jun,17.573209523809528,19.22844761904762,19.708819047619052,1.6552380952380936,2.1356095238095243
6,6,Jul,17.345909523809524,18.871647619047614,19.34408095238095,1.52573809523809,1.9981714285714247
7,7,Aug,18.7417,20.372238095238085,20.781461904761905,1.6305380952380837,2.039761904761903
8,8,Sep,21.290238095238095,23.071004761904764,23.586157142857147,1.7807666666666684,2.2959190476190514
9,9,Oct,23.160185714285717,25.15706666666667,25.76799047619048,1.9968809523809519,2.607804761904763
10,10,Nov,23.394723809523807,25.44539523809524,26.08241904761905,2.050671428571434,2.6876952380952446
11,11,Dec,23.330161904761898,24.974761904761905,25.539885714285717,1.6446000000000076,2.209723809523819
