,1980_2000,2030_2050,2040_2060
Jan,6.365190476190476,6.629322380952381,6.794689047619047
Feb,5.368141428571429,5.936983333333333,5.996371428571429
Mar,4.36296238095238,4.3995676190476205,4.423236666666666
Apr,1.682374761904762,1.681512857142857,1.685722857142857
May,0.5930922380952379,0.5453582380952382,0.5478499523809524
Jun,0.42545776190476176,0.4053254285714286,0.39974147619047623
Jul,0.3956527142857143,0.3839831428571428,0.3810338095238094
Aug,0.4833657619047618,0.4077769523809524,0.42946561904761904
Sep,1.0010699523809525,0.8529100952380952,0.8044404285714286
Oct,2.479325714285714,2.127890476190476,2.055400952380952
Nov,4.826418095238094,4.627493333333332,4.492029047619046
Dec,6.712313809523811,6.732460476190475,6.66699380952381
